leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-3,-2,2,0,-2,1,1,1,0,0,-2
-2,-6,-3,3,0,-4,3,3,2,1,-1,-6
-1,0,1,0,-1,0,1,2,1,-1,-4,-9
1,10,9,-6,-4,10,-2,-1,-3,-6,-9,-13
3,21,18,-12,-8,20,-6,-5,-7,-11,-13,-17
3,26,23,-15,-10,25,-7,-6,-8,-12,-15,-20
2,23,21,-13,-9,22,-6,-5,-6,-11,-14,-22
1,14,13,-7,-6,13,-3,-3,-3,-7,-11,-21
0,3,3,-1,-2,3,0,0,0,-4,-7,-19
0,-2,-2,1,0,-2,2,1,1,-2,-5,-18
0,-1,-1,0,0,-1,2,1,0,-3,-6,-17
0,8,7,-4,-3,7,-1,0,-2,-6,-8,-17
0,19,17,-10,-8,18,-4,-3,-5,-10,-12,-18
0,26,24,-13,-11,25,-6,-5,-6,-12,-14,-20
1,26,23,-14,-10,24,-7,-5,-6,-11,-14,-21
1,18,16,-10,-7,17,-5,-4,-4,-9,-12,-21
0,8,7,-4,-4,8,-1,-1,-1,-5,-9,-20
0,0,0,-1,-1,1,1,0,1,-3,-6,-18
1,0,-1,-1,0,0,1,0,1,-3,-6,-17
2,6,4,-5,-1,5,-1,-1,-1,-6,-8,-17
2,17,14,-10,-5,15,-5,-4,-5,-9,-11,-18
2,25,22,-13,-9,24,-7,-6,-7,-11,-13,-19
1,27,25,-14,-11,26,-7,-6,-7,-11,-13,-19
0,22,21,-11,-10,22,-6,-4,-6,-9,-12,-18
0,13,13,-6,-7,13,-3,-2,-3,-6,-9,-16
0,4,5,-2,-4,5,-1,0,0,-3,-6,-14
0,1,1,-1,-2,1,0,1,0,-2,-5,-12
0,4,5,-3,-3,5,-1,0,0,-3,-6,-10
0,14,13,-8,-6,13,-4,-2,-3,-7,-9,-11
0,23,21,-12,-9,22,-6,-4,-5,-9,-11,-12
0,27,25,-13,-11,26,-7,-5,-6,-10,-12,-12
0,24,22,-12,-10,23,-6,-5,-6,-9,-11,-13
0,14,14,-7,-7,14,-4,-3,-3,-6,-9,-12
0,5,5,-3,-3,5,-2,-2,-1,-3,-6,-11
0,0,0,-1,-1,0,0,0,0,-2,-5,-9
1,0,0,-2,0,0,0,0,0,-2,-5,-8
2,7,5,-6,-2,6,-2,-1,-1,-4,-7,-8
2,16,13,-10,-4,15,-4,-2,-3,-6,-9,-9
2,21,17,-12,-6,20,-6,-3,-4,-7,-10,-9
1,20,17,-11,-6,19,-6,-3,-4,-7,-10,-9
1,13,10,-7,-4,12,-4,-2,-1,-5,-8,-9
1,3,2,-2,-1,3,-1,0,1,-2,-5,-8
0,-3,-4,0,0,-3,0,1,3,0,-3,-6
0,-5,-5,1,1,-5,1,2,4,1,-2,-5
0,0,0,-1,0,0,0,1,3,0,-3,-5
0,9,7,-5,-3,8,-2,0,0,-2,-4,-5
1,15,13,-8,-4,14,-3,-1,0,-4,-5,-6
1,17,13,-9,-4,15,-4,-1,-1,-4,-6,-6
1,11,8,-6,-2,10,-3,-1,0,-3,-5,-6
1,2,0,-2,0,1,-1,0,2,-1,-3,-5
0,-6,-6,1,1,-6,0,0,3,1,-2,-4
1,-9,-10,2,3,-9,0,1,4,2,-1,-4
2,-6,-8,0,3,-6,0,1,4,1,-1,-3
1,2,0,-2,0,1,-2,0,3,0,-2,-2
0,9,7,-4,-2,8,-3,0,3,-1,-3,-2
0,12,10,-6,-2,12,-4,0,2,-1,-3,-2
0,10,8,-5,-2,9,-4,0,3,-1,-3,-2
0,3,2,-1,-1,3,-2,0,5,1,-1,-1
0,-4,-3,1,0,-3,0,1,7,3,1,0
0,-8,-7,2,2,-7,0,1,8,4,2,1
1,-6,-7,1,3,-6,0,1,8,4,2,1
1,1,-1,-3,1,0,-2,1,7,3,1,1
1,10,7,-6,-1,9,-3,0,6,3,1,1
1,16,12,-8,-2,14,-3,0,6,2,1,2
1,16,12,-8,-3,14,-4,0,6,2,1,2
2,9,6,-5,-1,7,-4,0,7,3,2,2
2,0,-2,-2,1,-1,-3,0,7,4,3,2
3,-5,-8,-1,3,-7,-3,0,8,5,4,3
3,-6,-9,-1,4,-7,-3,0,8,6,5,4
4,0,-5,-3,4,-3,-4,0,8,6,5,5
5,7,1,-7,3,4,-5,-1,6,5,4,5
5,13,6,-9,2,10,-6,-1,6,4,4,5
5,16,8,-10,1,12,-6,-1,6,4,4,5
6,12,4,-9,2,8,-6,-1,6,5,5,6
7,4,-3,-6,4,1,-6,-1,6,6,6,6
6,-2,-8,-4,5,-5,-6,-1,7,7,7,7
6,-4,-11,-3,6,-7,-6,-1,7,8,8,8
7,-1,-9,-5,6,-5,-7,-2,7,9,9,9
6,6,-2,-7,5,2,-7,-2,6,9,9,10
6,12,4,-8,3,8,-8,-3,6,9,10,11
6,16,8,-10,2,12,-8,-3,6,10,11,12
7,14,7,-10,2,10,-8,-3,7,10,12,13
7,8,1,-7,3,4,-8,-3,7,12,13,13
6,1,-5,-6,4,-2,-8,-3,7,13,14,14
6,-2,-9,-5,5,-6,-9,-3,7,14,15,15
7,-2,-9,-5,6,-5,-9,-4,7,14,16,16
8,4,-4,-7,6,0,-10,-4,7,14,16,17
9,12,2,-10,5,7,-11,-5,6,13,16,17
9,17,6,-11,5,11,-12,-6,5,13,17,18
9,18,7,-12,4,12,-12,-6,5,14,18,19
10,13,3,-11,5,8,-12,-7,5,15,20,19
9,6,-2,-9,5,2,-13,-7,5,15,21,20
9,2,-6,-8,5,-2,-13,-8,5,16,22,21
9,0,-8,-8,6,-4,-13,-8,5,16,23,21
10,5,-5,-10,7,0,-14,-8,5,16,23,22
11,12,0,-12,6,6,-14,-9,4,16,24,23
11,17,4,-13,6,11,-15,-10,4,17,24,24
11,19,6,-14,6,13,-15,-10,4,17,25,25
11,16,4,-13,6,10,-15,-11,4,17,26,26
12,10,-2,-12,7,4,-16,-11,4,18,27,26
13,5,-7,-12,8,0,-17,-12,3,18,27,27
13,3,-9,-11,8,-3,-17,-12,3,18,28,27
12,5,-7,-11,8,-1,-17,-12,3,18,28,28
11,12,-1,-12,6,5,-17,-12,3,19,29,29
10,17,4,-12,5,10,-17,-13,3,19,29,30
10,20,7,-13,5,13,-17,-13,3,19,29,30
11,19,6,-14,6,12,-17,-13,2,19,30,30
12,12,0,-12,7,6,-17,-13,2,19,30,30
12,6,-5,-11,7,1,-17,-13,1,19,30,30
11,3,-8,-10,7,-2,-17,-13,1,19,30,30
11,3,-9,-10,7,-3,-16,-13,1,18,30,30
12,8,-4,-12,7,1,-16,-13,1,18,30,29
12,13,0,-12,7,6,-16,-13,0,17,29,29
12,16,2,-12,7,9,-15,-13,0,16,27,28
11,16,3,-12,7,10,-15,-12,0,15,26,27
11,11,-1,-10,7,5,-14,-12,0,14,25,26
10,4,-5,-9,7,0,-14,-11,0,14,24,25
8,0,-7,-8,5,-3,-13,-10,0,13,23,24
7,-1,-8,-7,4,-4,-12,-9,0,13,22,23
6,2,-5,-7,4,-2,-11,-9,0,12,20,22
5,7,-1,-7,4,2,-11,-9,-1,11,18,20
4,9,2,-6,3,5,-10,-9,-1,10,17,19
4,10,3,-6,3,7,-10,-8,-1,9,15,17
5,7,1,-6,4,4,-9,-8,-1,8,14,16
6,1,-4,-5,5,-2,-9,-8,-1,7,13,15
