leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,0,-3,-1,3,-2,-2,-13,-2,-1,-1,1
6,-1,-7,-2,7,-4,-4,-34,-4,-3,-2,2
1,-3,-4,1,3,-4,-2,-45,-2,-1,0,3
-9,-5,4,7,-6,-1,2,-49,3,4,4,3
-18,-6,11,12,-14,2,7,-49,8,9,8,3
-22,-7,14,14,-18,3,10,-49,11,13,10,3
-20,-6,13,13,-16,3,10,-50,11,12,9,3
-11,-5,6,8,-9,1,7,-53,7,8,6,3
-2,-3,0,2,0,-1,3,-55,2,3,3,3
4,0,-4,-2,4,-1,1,-57,0,0,2,3
6,1,-4,-4,5,-1,0,-57,0,0,2,3
0,0,0,0,0,0,2,-55,3,3,4,3
-9,-2,6,6,-8,1,6,-53,7,7,5,3
-14,-4,9,9,-12,2,8,-52,9,9,6,3
-13,-4,8,8,-11,2,9,-52,9,9,6,3
-7,-3,3,5,-5,0,7,-53,6,6,4,3
0,-4,-3,2,1,-2,3,-55,2,2,2,3
4,-4,-7,0,5,-4,0,-57,-1,-1,0,3
4,-4,-7,0,5,-4,0,-57,-2,-2,0,3
-1,-4,-3,2,0,-3,1,-55,-1,-1,0,3
-9,-6,3,7,-6,-2,4,-53,2,3,2,3
-15,-9,6,12,-11,-2,7,-51,6,6,3,3
-16,-9,7,13,-11,-2,8,-50,7,8,4,3
-12,-7,4,10,-8,-1,8,-50,6,7,3,3
-4,-6,-1,5,-1,-2,5,-51,3,4,2,3
2,-6,-8,2,5,-6,2,-52,0,0,0,3
6,-7,-12,1,9,-9,0,-53,-1,-2,-1,3
3,-8,-11,2,6,-9,1,-51,0,-1,0,3
-5,-9,-4,7,-1,-7,4,-48,3,3,2,3
-14,-11,2,12,-8,-5,7,-46,6,7,4,3
-18,-11,6,14,-12,-4,8,-45,8,8,5,3
-18,-12,6,15,-12,-4,8,-46,7,7,5,3
-14,-14,1,14,-8,-6,5,-48,3,3,3,3
-7,-13,-4,11,-2,-8,3,-49,1,1,1,3
-3,-11,-7,8,2,-8,4,-46,2,1,2,3
-4,-10,-5,7,1,-7,8,-40,6,3,3,3
-10,-11,-1,11,-4,-6,14,-31,12,8,6,3
-18,-12,4,15,-11,-5,20,-21,19,14,9,3
-22,-13,7,17,-14,-4,25,-11,24,18,11,3
-20,-13,6,16,-13,-5,28,-2,27,19,11,3
-12,-12,0,11,-5,-7,28,6,26,18,9,3
0,-11,-9,5,4,-9,27,18,25,15,7,3
11,-8,-17,-1,14,-11,29,33,26,14,6,3
19,-4,-22,-8,20,-11,32,50,29,14,5,3
22,0,-21,-11,21,-9,33,64,31,15,5,3
20,4,-18,-13,18,-7,33,74,32,15,4,3
20,8,-14,-15,17,-4,30,77,30,15,2,3
26,14,-13,-20,19,-1,25,75,25,12,0,3
38,22,-16,-31,27,1,16,69,18,7,-4,3
54,32,-21,-43,37,6,7,63,10,1,-9,3
66,43,-22,-54,44,12,0,56,3,-4,-11,3
74,53,-20,-62,46,18,-8,45,-3,-8,-14,3
72,58,-14,-65,42,24,-15,25,-8,-10,-15,3
61,57,-5,-59,33,27,-20,-4,-12,-10,-14,3
45,51,4,-48,21,27,-24,-41,-17,-10,-12,3
28,41,10,-35,9,24,-30,-86,-24,-11,-11,3
16,32,14,-24,1,21,-36,-130,-32,-15,-10,3
9,25,15,-17,-2,20,-44,-164,-42,-21,-11,3
7,22,15,-14,-3,19,-52,-184,-50,-25,-11,3
5,19,15,-12,-5,19,-57,-192,-55,-28,-12,3
-1,16,18,-7,-9,18,-58,-192,-56,-27,-11,3
-11,12,23,0,-17,18,-56,-186,-53,-24,-8,3
-21,8,27,7,-24,17,-51,-178,-48,-21,-6,3
-29,3,29,12,-29,15,-47,-169,-45,-19,-5,3
-32,-1,29,16,-30,13,-44,-160,-42,-18,-4,3
-29,-5,23,17,-26,9,-41,-151,-41,-17,-4,3
-21,-7,16,14,-18,5,-38,-140,-39,-16,-3,3
-13,-6,9,10,-11,3,-33,-129,-35,-15,-1,3
