leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,0,-1,1,0,-2,0
-3,-4,-1,4,-1,-3,0,-2,2,2,-6,2
-4,-5,-1,4,-1,-4,1,-3,4,3,-8,3
-3,-5,-2,4,0,-4,3,-3,5,4,-10,4
-3,-5,-2,4,0,-4,4,-3,5,4,-11,5
-4,-5,-2,4,-1,-4,4,-2,5,4,-11,4
-4,-5,0,4,-2,-3,3,-1,4,3,-12,4
-4,-3,1,3,-2,-1,3,-1,5,4,-11,4
-4,-1,2,3,-3,0,3,-1,6,5,-11,5
-4,-1,3,2,-3,1,3,-1,7,6,-10,6
-4,0,4,2,-4,1,4,-1,9,7,-10,7
-4,0,4,1,-4,2,5,-1,10,9,-9,8
-3,1,4,0,-3,2,7,0,11,10,-9,9
-2,2,4,0,-3,3,9,2,11,11,-8,10
-2,3,5,0,-4,4,10,4,12,11,-7,10
-2,4,6,-1,-4,5,10,5,12,11,-7,10
-2,4,6,-1,-4,5,10,5,12,12,-6,10
-1,5,6,-2,-4,6,10,4,13,13,-6,11
0,6,6,-3,-4,6,11,4,14,14,-5,12
0,7,6,-3,-4,7,11,4,15,14,-5,13
0,8,6,-4,-3,7,12,5,16,15,-4,14
1,9,7,-5,-3,7,13,6,16,16,-3,14
1,9,7,-6,-3,8,14,7,16,17,-3,15
1,10,8,-6,-3,9,15,8,16,17,-2,15
1,11,9,-7,-3,10,16,8,17,17,-2,16
3,12,9,-8,-3,10,16,8,18,18,-1,17
4,13,9,-9,-2,11,16,9,18,19,-1,18
4,13,9,-9,-2,11,16,9,19,19,0,18
5,14,9,-10,-2,11,15,9,19,20,0,19
5,14,9,-10,-2,11,15,9,20,20,0,19
6,15,9,-11,-2,12,16,11,20,21,1,20
7,16,9,-12,-1,12,17,12,21,21,1,20
7,17,9,-12,-1,13,18,13,22,22,2,21
8,18,9,-13,-1,13,19,14,23,23,2,22
8,18,9,-13,-1,13,20,14,24,24,3,23
8,18,9,-14,-1,13,21,15,25,25,3,24
9,18,9,-14,0,13,22,15,26,26,4,25
9,19,9,-14,0,13,23,16,27,27,4,26
9,19,9,-14,0,13,24,17,28,27,5,26
9,18,8,-14,0,13,24,18,28,27,5,27
9,18,8,-13,0,13,25,18,28,27,5,27
10,18,8,-14,0,13,27,18,29,28,5,28
12,20,8,-16,2,13,28,19,30,29,6,29
13,21,7,-17,3,14,29,20,31,30,7,30
13,21,7,-17,3,14,30,20,31,31,8,31
13,21,6,-17,4,13,30,21,32,31,8,31
14,21,6,-17,4,13,30,22,32,32,9,32
