leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,1,0,2,-1,1,-1,-1
3,4,1,-3,1,3,-1,6,-2,2,-3,-3
6,6,0,-6,3,3,-2,8,-3,3,-5,-4
9,7,-1,-8,5,3,-2,10,-4,4,-5,-5
10,8,-2,-9,6,3,-2,11,-4,4,-6,-4
10,8,-2,-9,6,3,-2,11,-4,4,-6,-3
10,8,-2,-9,6,3,-2,12,-4,4,-6,-2
9,8,-2,-9,6,3,-2,12,-4,4,-6,-1
9,8,-1,-9,5,3,-2,13,-4,5,-6,0
8,8,-1,-8,4,3,-2,13,-4,5,-6,1
7,8,0,-7,3,3,-2,13,-3,5,-6,2
6,7,0,-6,2,4,-2,13,-3,6,-6,3
5,6,1,-6,2,4,-2,13,-3,6,-6,4
5,6,0,-6,2,4,-2,13,-4,6,-6,5
5,6,0,-6,3,3,-2,13,-4,5,-6,6
6,6,0,-6,3,3,-2,13,-4,5,-6,7
5,6,0,-6,2,3,-2,13,-4,5,-7,8
6,6,0,-6,3,3,-2,13,-4,5,-7,8
7,6,0,-6,4,3,-2,13,-4,5,-7,9
7,7,0,-7,4,3,-2,13,-4,5,-7,9
8,7,-1,-7,5,3,-2,13,-4,5,-7,8
8,7,-2,-7,6,2,-2,13,-4,5,-7,7
8,7,-1,-7,5,3,-2,14,-3,5,-6,7
5,7,0,-5,2,4,-1,14,-3,6,-5,6
4,7,1,-5,1,4,0,14,-3,6,-5,5
5,7,1,-6,2,3,-1,14,-4,5,-5,3
6,7,0,-6,3,3,-1,13,-4,5,-5,1
7,6,0,-7,3,2,-1,13,-5,5,-5,-1
8,6,-1,-7,4,2,-1,12,-5,5,-5,-4
9,7,-2,-8,5,2,-1,12,-5,4,-6,-6
10,7,-3,-8,6,1,-2,12,-6,4,-6,-8
10,6,-4,-8,7,1,-2,12,-6,3,-7,-10
10,6,-4,-8,7,0,-2,11,-7,3,-7,-12
10,6,-4,-8,7,0,-2,11,-7,2,-7,-13
9,7,-2,-8,5,1,-1,11,-7,2,-6,-13
7,7,-1,-7,4,2,-1,11,-7,2,-6,-14
6,6,0,-6,3,2,-1,11,-7,2,-6,-14
6,6,0,-6,3,2,-1,11,-7,2,-6,-14
5,6,0,-6,3,2,-1,11,-7,2,-6,-13
5,5,0,-5,3,2,-1,11,-7,2,-6,-12
5,5,-1,-5,3,1,-1,11,-7,1,-6,-10
5,4,-1,-5,3,1,-1,11,-7,1,-6,-9
5,4,-2,-5,3,0,-1,10,-8,0,-7,-7
6,3,-2,-5,4,0,-2,8,-9,0,-7,-6
5,3,-2,-5,4,0,-2,7,-9,0,-7,-5
4,3,-2,-4,3,0,-1,7,-9,0,-7,-4
4,3,-2,-4,3,0,-1,7,-9,-1,-7,-3
4,2,-3,-4,4,-1,-1,7,-9,-1,-7,-2
5,2,-4,-4,5,-1,-1,7,-10,-1,-7,-1
6,3,-4,-5,5,0,-1,7,-10,-1,-7,0
6,3,-4,-5,5,0,-1,8,-10,-1,-7,0
6,3,-3,-5,5,0,-1,8,-10,-1,-7,0
