leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,0,1,1,-1,0,-3,-5,-3,-1,-1,0
-5,-2,3,3,-4,1,-6,-13,-7,-3,-3,0
-7,-4,3,5,-6,0,-6,-14,-8,-4,-6,-1
-8,-6,2,7,-5,-2,-5,-12,-7,-3,-7,-2
-8,-10,-1,8,-4,-5,-4,-8,-5,-2,-7,-3
-9,-13,-4,11,-3,-9,-2,-4,-3,-2,-8,-4
-10,-17,-7,13,-2,-12,0,-2,-3,-2,-9,-7
-11,-20,-8,15,-1,-14,3,0,-4,-3,-10,-9
-11,-21,-10,16,-1,-15,4,0,-7,-5,-12,-12
-11,-22,-11,17,0,-16,6,0,-11,-7,-15,-16
-10,-23,-13,17,1,-17,7,0,-14,-10,-18,-19
-10,-24,-14,17,1,-18,7,0,-17,-12,-20,-21
-11,-25,-14,17,1,-19,8,0,-18,-13,-22,-24
-11,-26,-15,18,1,-20,8,0,-19,-14,-23,-25
-12,-27,-15,18,1,-21,9,0,-19,-14,-24,-27
-12,-27,-15,19,1,-21,10,1,-19,-15,-25,-28
-12,-28,-15,19,1,-22,10,2,-18,-15,-26,-29
-12,-28,-16,20,1,-22,11,4,-17,-14,-26,-30
-12,-29,-16,20,1,-23,11,6,-16,-13,-26,-30
-12,-29,-17,21,1,-23,12,7,-14,-12,-26,-31
-12,-29,-17,21,1,-23,12,9,-13,-11,-26,-31
-13,-29,-17,21,1,-23,12,10,-12,-10,-26,-32
-13,-30,-17,21,1,-23,12,10,-11,-9,-26,-32
-13,-30,-17,21,1,-23,12,11,-10,-9,-25,-33
-13,-30,-17,21,2,-24,12,11,-9,-8,-25,-34
-12,-30,-18,21,2,-24,12,12,-8,-8,-25,-34
-13,-30,-17,21,1,-23,12,13,-7,-8,-25,-34
-13,-30,-16,21,1,-23,13,14,-6,-7,-25,-34
-13,-30,-17,21,1,-23,13,14,-5,-6,-25,-34
-13,-30,-17,21,1,-23,13,14,-4,-5,-25,-34
-13,-30,-17,21,1,-23,13,14,-3,-4,-24,-33
-14,-31,-17,22,1,-23,13,15,-2,-3,-23,-33
-15,-32,-17,23,0,-24,13,15,-1,-3,-23,-32
-16,-33,-17,24,0,-24,13,16,0,-2,-23,-32
-16,-33,-17,24,0,-25,13,16,0,-2,-23,-31
-16,-33,-17,25,0,-25,12,17,1,-2,-23,-30
-17,-33,-17,25,0,-25,12,17,1,-2,-23,-28
-17,-34,-17,25,0,-25,12,18,2,-2,-22,-27
-18,-34,-16,25,0,-25,12,19,3,-2,-22,-26
-18,-34,-16,25,0,-25,12,20,4,-2,-22,-24
-18,-34,-16,25,0,-25,12,22,5,-1,-21,-23
-18,-34,-16,25,0,-25,12,23,7,-1,-20,-21
-18,-34,-16,25,0,-25,12,25,8,0,-19,-19
-18,-34,-16,25,0,-25,12,26,10,0,-18,-17
-18,-34,-16,25,0,-25,12,28,12,0,-18,-16
-18,-34,-16,25,-1,-25,12,29,13,0,-17,-15
-18,-34,-16,25,-1,-25,12,30,14,1,-17,-14
-17,-34,-16,25,-1,-25,12,31,15,2,-16,-13
-17,-33,-16,25,0,-25,12,32,16,3,-14,-11
-16,-33,-16,24,0,-25,12,34,18,4,-13,-10
-16,-33,-16,24,0,-25,11,35,19,5,-12,-10
-16,-32,-16,24,0,-24,11,37,20,6,-11,-9
-16,-32,-16,24,0,-24,12,39,22,8,-10,-9
-16,-31,-15,23,0,-23,12,41,23,9,-9,-9
-16,-31,-16,23,0,-24,12,42,25,11,-7,-9
-15,-31,-17,23,1,-24,12,44,26,12,-6,-9
-14,-31,-17,22,2,-24,11,45,28,14,-4,-9
-12,-31,-18,21,3,-24,11,47,30,15,-3,-9
-11,-31,-19,20,4,-24,11,48,32,16,-1,-10
-10,-30,-19,20,4,-24,11,49,33,17,0,-11
-10,-29,-19,19,5,-24,11,50,34,18,0,-12
-9,-29,-20,19,6,-24,10,52,36,18,1,-13
-8,-28,-20,18,7,-24,10,53,37,19,2,-13
-7,-27,-21,17,7,-24,10,55,39,20,4,-13
-6,-27,-21,16,8,-23,10,56,41,21,5,-13
-5,-26,-21,16,8,-23,10,58,43,22,7,-13
-5,-26,-21,16,7,-23,10,59,45,23,9,-13
-5,-26,-21,16,7,-23,10,61,47,25,10,-13
-5,-26,-21,15,8,-23,10,63,50,27,12,-13
-5,-26,-21,15,8,-23,11,65,52,29,13,-12
-5,-26,-21,15,8,-23,11,66,54,31,14,-12
-5,-26,-21,15,8,-23,11,68,56,33,15,-11
-5,-25,-21,15,8,-23,11,69,57,36,16,-11
-4,-25,-21,14,8,-23,11,70,59,38,17,-10
-4,-24,-21,14,9,-23,11,72,60,40,18,-9
-4,-24,-21,14,8,-22,11,73,62,42,19,-8
-4,-24,-20,14,8,-22,11,75,64,45,20,-7
-3,-23,-20,13,8,-22,11,76,66,48,21,-6
-3,-23,-21,13,8,-22,11,78,68,51,22,-5
-2,-23,-21,13,9,-22,11,79,69,53,23,-4
-2,-23,-21,13,9,-22,11,79,70,55,24,-3
-2,-23,-21,12,9,-21,11,80,71,57,24,-2
-2,-22,-21,12,9,-21,10,81,73,60,25,-1
-2,-22,-21,12,9,-21,10,82,74,62,25,0
-2,-22,-21,12,9,-21,10,83,75,64,26,1
-2,-22,-21,12,9,-21,11,84,76,67,26,2
-1,-22,-21,12,9,-21,11,85,77,69,27,3
-1,-22,-21,12,9,-21,10,85,78,72,27,3
-1,-22,-21,11,10,-21,10,86,78,74,28,4
-2,-22,-20,11,9,-21,10,86,79,75,28,4
-2,-22,-20,11,9,-20,10,86,79,76,28,5
-2,-22,-19,11,9,-20,10,86,80,77,28,5
-1,-21,-19,11,9,-20,10,87,80,78,28,6
-1,-21,-19,10,9,-20,10,87,80,78,28,6
-1,-20,-19,10,9,-19,10,87,80,79,28,6
-1,-19,-18,9,8,-18,11,87,80,79,28,7
-1,-18,-18,9,8,-17,11,86,80,79,28,8
-1,-18,-17,9,8,-17,11,85,80,79,28,8
-1,-17,-17,9,8,-17,10,84,79,79,28,9
0,-17,-16,8,7,-16,10,84,79,78,28,10
0,-16,-16,7,7,-15,9,83,78,78,28,11
0,-15,-15,6,7,-15,9,83,78,77,28,11
0,-14,-15,6,7,-14,8,82,77,77,28,12
0,-13,-14,6,7,-13,8,81,76,76,28,13
0,-13,-13,6,6,-13,8,80,75,76,28,14
0,-12,-13,6,6,-12,8,79,74,74,28,15
0,-12,-12,6,6,-12,8,78,73,73,28,15
0,-11,-12,5,6,-12,8,77,72,71,29,16
0,-11,-11,5,6,-11,8,76,71,69,29,17
0,-10,-10,4,5,-10,8,75,69,66,29,18
0,-9,-10,4,5,-9,8,74,68,65,29,19
0,-8,-9,3,5,-9,8,72,66,63,29,20
0,-7,-8,3,4,-8,8,71,64,61,29,20
0,-7,-7,2,4,-7,8,69,62,58,29,21
0,-6,-7,2,4,-7,7,67,61,56,30,22
