leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,0,-1,1,-3,-9,-8,-7,-1,-8
-2,1,3,0,-2,2,-8,-22,-19,-19,-4,-21
-2,2,4,0,-3,3,-10,-27,-23,-24,-4,-28
-1,3,4,-1,-2,4,-9,-25,-22,-24,-1,-31
0,4,4,-1,-2,4,-7,-19,-18,-23,3,-32
0,4,4,-2,-1,4,-5,-11,-14,-21,7,-32
1,5,4,-3,-1,5,-3,-6,-10,-19,10,-31
2,5,4,-4,-1,5,-2,-5,-8,-17,12,-31
2,6,4,-4,0,5,-2,-7,-5,-15,12,-31
2,6,4,-5,0,5,0,-10,-3,-13,12,-31
2,6,4,-5,0,5,1,-11,0,-10,13,-30
3,6,3,-5,0,5,3,-9,2,-7,16,-29
3,6,2,-6,1,5,5,-4,4,-6,19,-27
4,5,1,-5,2,4,6,1,6,-5,22,-26
4,4,0,-5,2,3,6,5,7,-4,24,-25
5,5,0,-6,3,3,7,7,9,-3,25,-25
5,5,0,-6,3,3,7,5,11,-1,24,-26
5,5,0,-5,3,3,7,2,12,-1,22,-27
4,5,0,-5,2,3,7,-1,12,-1,21,-28
4,4,0,-4,2,3,8,-3,10,-1,20,-29
5,4,0,-5,3,2,9,-2,9,-3,21,-29
5,4,-1,-5,4,2,9,1,9,-4,23,-29
6,4,-1,-5,4,2,9,5,9,-4,25,-28
6,4,-1,-5,3,2,9,7,9,-4,26,-28
6,4,-1,-5,3,2,9,7,8,-4,26,-27
6,4,-1,-5,3,2,9,5,9,-4,25,-28
5,4,-1,-5,3,2,9,4,10,-3,24,-28
5,5,0,-5,3,2,9,3,12,-2,24,-28
5,5,0,-5,3,3,10,4,14,-1,24,-28
5,5,0,-5,2,3,10,5,14,0,24,-28
5,5,0,-5,2,3,11,7,13,0,25,-28
5,5,0,-5,3,3,11,9,12,0,25,-28
5,5,0,-5,3,3,10,8,12,-1,25,-28
5,5,0,-5,3,3,10,5,11,-1,24,-28
5,5,0,-5,3,3,10,2,10,-2,23,-28
6,5,0,-5,3,3,11,0,10,-2,23,-28
6,4,0,-5,3,2,10,1,10,-2,23,-29
5,4,0,-5,3,2,10,4,10,-1,24,-29
5,5,0,-5,3,2,10,7,11,0,24,-30
5,5,0,-5,3,3,10,9,13,0,24,-30
5,6,0,-5,3,3,10,10,14,1,24,-30
5,6,0,-5,3,3,10,8,14,1,24,-31
5,6,0,-6,3,3,10,5,14,1,23,-31
6,6,0,-6,3,3,10,3,14,1,23,-31
6,6,0,-6,3,3,10,3,15,1,23,-31
6,6,0,-6,3,3,10,5,15,2,23,-31
6,6,0,-6,3,3,10,8,16,2,24,-31
6,6,0,-7,3,3,10,10,16,3,24,-31
7,7,0,-7,3,3,9,10,16,3,25,-31
7,7,0,-7,3,3,9,10,16,3,25,-31
7,7,0,-7,3,2,9,9,17,3,26,-31
6,6,0,-6,3,2,9,7,17,3,26,-31
5,6,0,-6,2,2,10,6,16,2,26,-31
6,6,0,-6,2,3,10,6,17,2,26,-31
6,7,0,-7,2,3,11,7,18,3,26,-31
6,7,0,-7,2,3,11,8,18,3,26,-32
7,8,0,-7,2,3,10,9,18,4,25,-32
7,8,0,-7,2,3,10,9,18,4,25,-32
7,8,0,-7,3,3,9,9,18,5,25,-32
8,8,0,-7,3,3,9,8,19,5,25,-31
7,7,0,-7,4,3,9,9,18,5,25,-31
7,6,-1,-6,4,3,9,10,18,5,25,-31
