leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,1,0,0,1,2,0,-11,0,4,0
0,2,3,-1,-1,2,6,0,-30,0,11,0
0,3,4,-2,-2,3,9,0,-42,0,15,-1
-1,3,4,-2,-2,4,10,0,-49,-1,17,-1
-1,3,5,-1,-3,4,11,0,-53,-1,19,-1
-2,3,5,-1,-3,4,11,0,-55,-1,20,-1
-2,3,5,-1,-3,4,12,0,-57,-1,20,-1
-2,3,5,-1,-3,4,12,0,-58,-1,21,-1
-2,3,5,-1,-3,4,11,0,-59,-2,21,-1
-2,2,4,-1,-3,3,11,0,-59,-2,21,-1
-2,2,4,-1,-3,3,11,0,-59,-3,21,-1
-2,2,4,-1,-3,3,11,0,-60,-3,20,-1
-2,2,4,0,-3,3,11,0,-60,-3,20,-1
-2,1,3,0,-2,2,11,0,-60,-3,19,0
-2,0,2,1,-3,1,11,1,-60,-2,19,0
-3,0,2,1,-3,0,11,1,-59,-2,18,0
-3,-1,2,2,-3,0,11,2,-59,-1,18,-1
-4,-2,2,3,-3,0,11,2,-59,-1,17,-2
-4,-3,1,3,-3,0,11,3,-58,-1,17,-2
-4,-3,1,4,-3,-1,12,3,-58,-1,17,-2
-5,-3,1,4,-3,-1,12,4,-57,-1,17,-2
-5,-4,1,4,-3,-1,12,4,-57,-1,17,-3
-6,-4,1,5,-3,-2,12,4,-56,-1,17,-3
-6,-5,0,5,-3,-2,12,5,-56,-1,17,-3
-6,-5,0,5,-3,-2,12,5,-55,-1,16,-3
-6,-5,1,5,-3,-2,13,5,-55,-1,16,-3
-6,-5,1,5,-3,-2,13,5,-55,-1,15,-4
-6,-5,1,5,-3,-2,13,5,-55,-1,15,-4
-6,-4,1,4,-3,-2,13,5,-55,-2,15,-4
-5,-4,1,4,-3,-2,13,5,-56,-2,15,-3
-5,-5,0,5,-3,-2,13,5,-56,-2,15,-3
-5,-6,0,5,-2,-3,14,6,-56,-2,15,-2
-5,-6,0,5,-2,-4,15,6,-56,-2,15,-2
-5,-6,0,5,-2,-4,16,6,-56,-2,15,-2
-5,-6,0,5,-2,-4,16,6,-56,-2,15,-2
-5,-7,-1,6,-1,-4,16,7,-56,-2,15,-2
-5,-7,-1,6,-1,-4,16,7,-56,-2,15,-2
-6,-7,-1,6,-1,-4,16,7,-56,-3,14,-2
-6,-7,-1,6,-2,-3,17,7,-56,-3,14,-2
