leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,1,-1,0,1,0,0,0,2,-1
0,1,2,0,-1,1,2,2,-1,-1,6,-2
3,4,1,-3,1,2,3,3,-2,-2,8,-2
3,3,0,-3,1,1,2,3,-2,-3,9,-1
0,0,0,0,0,0,2,2,-3,-4,8,-1
-3,-5,0,4,-1,-3,1,0,-4,-5,7,-2
-6,-7,0,7,-3,-4,0,0,-5,-6,7,-2
-4,-5,0,5,-2,-3,1,1,-4,-5,7,0
1,-1,-1,0,0,-1,2,3,-2,-4,9,0
3,1,-1,-2,2,0,2,3,-2,-4,9,0
1,-1,-2,0,1,-2,1,1,-4,-6,7,-4
0,-4,-3,2,1,-4,0,0,-6,-9,5,-8
2,-4,-5,0,3,-4,0,-1,-6,-9,5,-10
6,-2,-7,-2,7,-5,0,0,-6,-9,5,-10
8,-1,-8,-4,9,-5,0,0,-6,-8,6,-8
7,-2,-9,-2,9,-6,0,0,-6,-9,6,-8
4,-6,-10,1,7,-8,-1,-2,-8,-11,4,-9
0,-9,-10,5,5,-9,-3,-3,-9,-12,2,-10
0,-8,-8,4,4,-8,-3,-3,-9,-11,2,-10
2,-3,-5,0,3,-3,-1,-1,-7,-9,4,-8
4,3,-2,-4,3,1,1,1,-4,-6,6,-6
4,4,0,-4,2,3,3,3,-2,-4,7,-3
2,1,0,-1,0,1,3,3,-2,-4,8,-2
-1,-2,0,2,0,0,2,2,-3,-5,8,-2
-2,-2,0,2,-1,0,2,3,-3,-5,9,-2
-2,-2,0,2,-1,0,2,3,-2,-5,9,-3
-4,-5,0,5,-2,-2,1,2,-3,-6,8,-4
-8,-10,-1,9,-3,-5,0,0,-5,-9,5,-6
-8,-12,-2,10,-3,-6,-1,-1,-7,-10,3,-7
-6,-10,-3,8,-1,-6,-1,-1,-6,-10,1,-8
-2,-8,-4,5,1,-6,0,0,-5,-8,2,-8
0,-7,-4,4,2,-6,0,0,-3,-7,3,-10
0,-6,-5,3,3,-6,0,-1,-2,-6,4,-11
0,-5,-3,3,1,-5,0,0,0,-5,6,-10
-2,-4,-1,4,0,-3,0,0,0,-4,8,-9
-2,-3,0,3,-1,-2,0,0,1,-3,9,-8
-1,0,1,0,-1,0,1,1,3,-1,11,-6
-2,2,4,0,-3,3,1,2,4,0,12,-4
-4,2,6,1,-5,5,1,2,5,1,13,-3
-3,3,6,1,-4,5,1,2,6,2,14,-2
-2,2,4,1,-3,4,0,2,5,1,13,-2
-3,0,4,2,-3,3,0,1,4,0,12,-3
-4,1,4,1,-3,3,0,1,4,0,11,-4
-2,2,4,0,-3,4,1,2,4,0,11,-4
0,5,4,-3,-2,5,2,3,5,1,11,-4
0,7,6,-4,-3,7,3,3,6,2,11,-3
-5,4,9,0,-7,7,3,2,7,2,11,-2
-9,0,10,4,-10,5,2,0,6,1,10,-3
-8,1,9,3,-8,5,1,-1,4,0,9,-2
-6,2,9,2,-7,6,0,-2,2,0,9,0
-5,4,9,0,-7,7,0,-3,1,-1,9,2
-2,7,10,-3,-6,9,0,-3,0,-1,10,4
0,10,10,-5,-5,10,0,-4,0,-1,11,5
0,9,10,-4,-5,9,-1,-5,-1,-2,11,4
-2,5,8,-1,-6,7,-3,-7,-3,-3,10,2
-7,1,9,3,-8,5,-4,-8,-4,-4,9,0
-11,0,12,6,-12,6,-2,-7,-3,-3,10,0
-14,-1,14,8,-14,6,-1,-6,-2,-2,10,-1
-15,-3,12,9,-13,5,-2,-6,-3,-3,8,-2
-11,-3,8,7,-10,3,-3,-7,-5,-4,6,-3
-6,0,6,2,-6,3,-3,-6,-4,-4,6,-2
0,5,5,-3,-3,5,-2,-4,-2,-2,8,0
4,9,4,-7,0,6,-1,-3,-1,-1,8,2
4,6,3,-5,0,4,-1,-3,-2,-1,7,3
0,0,0,0,0,0,-3,-5,-4,-3,5,2
-3,-5,0,5,-1,-2,-4,-6,-5,-5,4,1
-4,-5,-1,5,-1,-2,-3,-5,-5,-4,4,1
-2,-3,-1,3,0,-2,-2,-3,-5,-3,5,1
-4,-5,-1,5,-1,-3,-2,-3,-6,-4,4,1
-7,-8,-1,8,-3,-5,-4,-5,-7,-5,3,1
-3,-6,-1,5,-1,-4,-4,-4,-7,-4,4,1
4,0,-2,-2,3,-1,-2,-3,-5,-3,5,3
7,1,-4,-4,6,-1,-2,-2,-4,-3,5,2
4,-2,-4,-1,5,-3,-2,-2,-4,-4,3,-1
-2,-6,-3,4,1,-5,-1,-1,-5,-4,2,-4
-4,-7,-2,5,0,-4,0,0,-5,-4,1,-5
-3,-5,-2,3,0,-3,0,0,-4,-5,0,-5
-2,-4,-2,2,0,-3,-1,0,-5,-6,0,-6
0,-3,-4,1,2,-4,-1,-1,-5,-6,0,-6
2,-3,-4,0,3,-4,-2,-2,-5,-6,0,-6
0,-5,-4,2,2,-5,-2,-2,-4,-7,-1,-7
0,-6,-5,3,3,-6,-2,-2,-4,-7,-1,-6
0,-6,-6,3,3,-5,-1,-1,-3,-7,-1,-4
-4,-7,-4,6,0,-4,-1,0,-2,-6,0,-3
-8,-9,-1,9,-3,-4,0,1,-2,-6,0,-2
-9,-8,0,9,-5,-4,0,1,-2,-6,1,-2
-11,-9,1,10,-6,-4,0,1,-2,-7,1,-2
-10,-8,2,9,-7,-3,0,1,-1,-7,1,-2
-6,-4,2,6,-5,-2,1,2,0,-6,1,-2
-4,-3,2,4,-3,-1,2,3,1,-6,1,-2
-3,-5,0,4,-1,-3,2,2,2,-8,0,-2
-1,-4,-2,3,1,-3,2,2,3,-8,0,-1
0,-4,-3,2,1,-3,2,2,3,-8,0,-1
-3,-6,-3,4,0,-4,1,1,2,-8,-2,-3
-4,-7,-4,6,0,-6,0,0,1,-8,-3,-4
-4,-8,-4,6,0,-7,0,-1,0,-8,-4,-4
-4,-8,-4,6,0,-7,0,-1,0,-8,-5,-4
-6,-10,-3,9,-2,-8,0,-1,-1,-8,-5,-3
-8,-12,-2,10,-3,-8,0,-1,-2,-8,-4,-3
-5,-9,-2,8,-2,-5,1,0,0,-7,-2,0
-4,-6,-1,5,-1,-3,1,1,0,-6,-2,2
-5,-7,-2,6,-1,-4,0,0,-1,-6,-3,2
-6,-7,-2,7,-2,-5,0,-1,-2,-6,-2,3
-6,-6,-2,6,-2,-4,0,-1,-1,-4,0,2
-5,-6,-1,6,-2,-4,0,-1,-1,-3,4,2
-4,-6,-2,6,-1,-5,0,0,0,-1,9,5
-2,-6,-3,4,1,-5,0,0,0,2,15,12
0,-5,-4,3,3,-5,0,1,1,4,22,21
0,-5,-5,3,3,-5,0,2,2,7,30,30
4,-4,-8,0,6,-6,0,3,3,10,39,39
12,0,-12,-6,12,-6,0,5,5,14,50,51
17,2,-15,-9,16,-6,0,7,8,19,62,64
15,-1,-17,-6,16,-9,-1,6,9,24,74,77
12,-5,-17,-3,14,-11,-3,5,11,30,86,90
13,-5,-17,-3,15,-11,-3,6,14,37,99,103
17,-5,-21,-5,19,-13,-2,9,18,43,106,108
23,-5,-28,-8,26,-16,0,11,20,46,106,104
30,-4,-34,-12,32,-18,1,12,19,45,101,93
33,-5,-37,-14,36,-20,1,12,15,39,90,75
32,-7,-39,-12,36,-23,0,10,10,31,75,53
28,-11,-39,-8,33,-24,-1,8,3,18,59,32
21,-15,-36,-3,29,-26,-2,6,-6,2,40,12
15,-16,-32,0,24,-24,-2,3,-17,-17,20,-4
9,-15,-24,3,17,-20,-4,-1,-30,-37,1,-19
1,-14,-15,6,8,-14,-7,-10,-47,-58,-18,-31
-6,-11,-4,9,-1,-7,-11,-20,-65,-78,-33,-41
-14,-8,6,11,-10,-1,-14,-28,-81,-95,-45,-48
-22,-10,12,16,-17,0,-15,-32,-92,-108,-56,-56
-31,-18,12,24,-21,-3,-17,-34,-101,-118,-67,-64
-35,-26,9,30,-22,-8,-19,-36,-107,-124,-77,-69
-34,-28,5,31,-19,-11,-20,-37,-112,-125,-82,-70
-29,-26,3,28,-16,-11,-22,-38,-115,-123,-82,-69
-25,-24,1,25,-13,-11,-22,-37,-115,-118,-79,-64
-20,-20,0,21,-10,-10,-22,-34,-112,-111,-73,-58
-18,-19,0,19,-9,-10,-21,-31,-107,-102,-67,-52
-16,-18,0,17,-8,-9,-21,-29,-100,-93,-61,-46
-12,-13,0,13,-6,-7,-19,-25,-89,-83,-53,-41
-8,-8,1,8,-5,-3,-15,-18,-75,-70,-45,-37
-8,-6,2,7,-5,-1,-12,-13,-61,-59,-39,-33
-8,-5,4,6,-6,0,-9,-9,-50,-49,-33,-29
-8,-3,5,5,-6,1,-6,-5,-39,-41,-27,-23
-8,-3,5,5,-7,1,-5,-3,-31,-33,-22,-20
-9,-4,5,6,-7,0,-4,-1,-24,-27,-18,-17
-11,-6,5,8,-8,0,-3,0,-19,-22,-14,-14
-12,-7,6,10,-9,0,-2,0,-15,-17,-12,-11
-11,-6,5,8,-8,0,-1,1,-10,-13,-9,-9
-8,-5,3,7,-6,0,0,2,-7,-11,-7,-7
-9,-8,1,8,-5,-3,-1,1,-5,-9,-5,-6
-12,-12,0,12,-6,-5,-1,1,-3,-8,-4,-5
-10,-10,0,10,-5,-5,-1,1,0,-5,-1,-3
-1,-3,-2,2,0,-2,0,3,3,-1,2,0
6,1,-4,-3,5,-1,1,3,4,0,4,2
4,-1,-5,-1,4,-3,0,1,4,0,4,1
-2,-8,-5,5,1,-6,-2,0,3,0,3,-1
-6,-11,-5,9,-1,-7,-2,-1,3,0,3,-1
-5,-9,-3,7,-1,-5,0,1,5,1,4,0
-3,-6,-2,5,-1,-3,1,3,7,2,4,1
-3,-5,-1,4,-2,-2,2,4,9,3,4,1
-3,-4,0,3,-2,-2,2,4,9,3,5,2
-2,-5,-1,3,-1,-3,1,3,9,3,7,4
-3,-6,-3,4,0,-4,0,2,10,3,8,4
-1,-6,-4,3,1,-5,1,3,11,4,9,5
0,-3,-3,1,2,-3,3,5,13,6,11,7
1,-2,-3,0,2,-2,5,6,14,6,11,8
-1,-4,-3,3,1,-3,4,5,12,4,8,8
-3,-8,-4,5,0,-6,1,3,10,2,6,7
-1,-7,-5,4,1,-6,0,2,9,1,5,7
0,-6,-5,3,2,-6,0,2,9,2,7,7
-3,-8,-5,5,0,-7,1,2,9,3,8,8
-5,-9,-4,7,0,-7,1,3,9,3,9,7
-3,-7,-3,5,0,-5,3,4,11,5,10,9
0,-4,-3,2,1,-3,4,6,13,6,11,11
1,-2,-3,1,2,-3,3,6,13,6,11,12
2,-2,-4,1,3,-4,3,5,13,6,10,13
2,-3,-5,2,3,-5,2,4,13,6,10,13
1,-5,-5,3,2,-6,1,3,12,5,10,12
0,-6,-5,4,2,-6,1,3,12,5,10,12
0,-6,-6,3,3,-6,1,2,11,5,10,12
1,-5,-6,2,4,-5,1,2,11,5,10,12
3,-2,-6,0,4,-4,2,2,12,6,11,11
3,-1,-6,-1,5,-3,2,3,13,6,12,11
2,-4,-6,1,4,-5,1,2,13,6,11,10
0,-6,-6,3,3,-6,0,1,12,5,11,10
-1,-6,-5,3,2,-6,1,2,13,6,12,11
0,-3,-3,1,2,-3,2,4,14,8,14,13
0,-2,-2,1,1,-2,3,5,15,10,16,15
-5,-5,-1,5,-1,-3,2,4,14,9,15,15
-9,-10,-2,10,-3,-5,0,2,12,8,14,14
-9,-13,-4,11,-2,-7,-1,0,11,6,12,12
-7,-13,-5,10,-1,-8,-2,-1,10,5,11,11
-4,-9,-5,7,0,-7,-1,0,11,7,12,11
0,-4,-3,2,1,-4,0,1,13,10,14,13
0,0,0,0,0,-1,2,3,15,13,17,15
0,0,1,0,0,0,3,5,17,15,18,17
1,1,0,-1,1,0,3,5,17,15,18,17
1,-1,-2,0,2,-2,2,4,16,14,17,17
0,-5,-5,3,2,-5,0,2,14,12,15,16
1,-5,-6,2,4,-6,-1,1,15,12,15,17
3,-3,-6,0,5,-5,0,1,16,13,16,20
3,-3,-6,0,5,-5,-1,1,16,14,18,21
1,-4,-5,1,3,-5,-1,0,16,15,19,22
0,-3,-2,2,1,-3,0,1,17,17,21,24
-1,-1,0,1,0,-1,1,3,18,19,24,27
-3,-1,2,2,-2,0,1,5,19,20,25,28
-7,-3,3,5,-4,0,2,5,20,20,26,27
-8,-3,4,6,-5,0,3,6,21,21,26,25
-3,0,4,1,-3,1,4,6,22,22,27,24
4,6,2,-5,1,3,5,7,24,24,29,25
8,7,0,-8,4,3,4,7,24,25,29,26
6,2,-3,-4,5,-1,1,3,21,23,27,23
2,-4,-5,1,4,-5,-1,1,19,20,26,21
0,-4,-4,1,3,-4,-1,1,19,21,27,21
5,2,-4,-4,5,0,1,3,22,25,30,22
12,8,-5,-10,9,2,3,5,24,28,33,24
15,11,-5,-12,10,3,4,6,26,30,35,28
13,10,-3,-10,7,3,4,6,27,31,38,31
9,8,0,-8,4,3,3,5,27,32,40,32
6,6,0,-6,3,2,2,5,27,33,41,34
5,4,-1,-4,3,1,2,4,27,33,42,35
5,2,-2,-3,3,0,1,3,27,34,43,37
6,3,-3,-4,4,0,1,3,28,35,45,40
8,5,-4,-6,6,1,1,4,29,37,47,41
10,6,-5,-7,7,0,1,4,29,37,48,42
13,7,-5,-9,9,0,1,4,30,38,49,43
15,9,-6,-11,10,1,1,4,31,40,50,46
17,10,-7,-13,12,1,1,4,32,41,52,48
18,10,-8,-14,13,0,1,4,32,42,54,49
17,8,-9,-12,13,0,0,3,32,43,54,48
15,5,-10,-10,12,-2,0,3,31,43,54,47
14,5,-8,-9,11,-1,0,3,32,45,57,48
12,8,-4,-10,9,2,1,5,34,48,61,52
8,8,-1,-8,5,3,1,5,34,50,63,56
6,6,0,-6,3,2,0,4,33,50,65,57
9,8,-1,-9,5,2,0,3,33,50,66,57
