leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,1,0,1,1,2,1,2,2
3,2,-1,-2,2,1,2,3,5,2,5,4
4,3,-2,-3,2,1,2,4,7,2,6,6
4,4,-2,-4,2,2,3,5,8,2,7,7
4,4,-2,-4,2,2,3,5,9,2,8,7
5,4,-2,-4,2,2,3,5,9,2,8,8
5,4,-2,-4,3,2,3,5,10,2,8,8
5,4,-2,-4,3,1,3,5,10,2,8,9
5,4,-2,-4,3,1,3,5,9,2,8,9
6,4,-3,-4,3,1,3,5,9,2,8,9
6,4,-3,-4,3,1,2,5,8,1,8,10
6,3,-3,-4,3,1,1,5,8,1,8,10
5,3,-3,-4,3,1,1,4,7,1,8,9
5,2,-3,-4,3,1,0,4,7,0,7,9
4,2,-3,-3,3,1,0,4,7,0,7,9
4,1,-3,-3,3,1,0,4,7,0,7,8
4,1,-3,-3,3,0,0,4,7,0,7,8
4,2,-3,-3,2,0,0,4,7,0,7,8
4,2,-2,-3,2,1,0,4,7,0,7,8
4,2,-2,-3,1,1,0,4,7,0,6,8
4,2,-1,-3,1,1,0,4,7,0,6,8
4,3,-1,-3,1,2,0,4,8,0,6,9
4,3,-1,-3,1,2,0,4,8,0,6,9
4,3,-1,-3,1,2,0,4,8,0,6,10
4,3,-1,-3,1,2,0,4,8,0,6,10
4,3,-1,-3,1,2,0,4,8,0,6,11
4,3,-1,-4,1,2,0,3,9,0,7,11
4,3,-1,-4,1,2,0,3,10,0,7,11
4,3,-1,-4,1,2,0,2,10,0,7,11
4,3,-1,-4,1,2,0,2,10,0,7,11
3,3,-1,-3,1,2,0,2,10,0,7,11
3,3,-1,-3,1,2,0,2,11,0,7,11
3,3,-1,-3,1,2,0,2,11,0,7,11
3,3,-1,-3,1,2,0,2,11,0,7,11
3,3,-1,-3,1,2,0,2,11,0,7,11
3,3,-1,-3,1,2,0,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,2,-1,-3,1,1,1,2,11,0,7,11
3,2,-1,-3,1,1,1,2,11,0,7,11
3,2,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-3,1,2,1,2,11,0,7,11
3,3,-1,-4,1,2,1,2,12,0,7,11
3,4,0,-4,1,2,1,2,12,0,7,12
3,4,0,-4,1,3,1,2,12,0,6,12
3,4,0,-4,0,3,1,2,12,0,6,12
3,4,0,-4,0,3,1,2,12,0,6,12
3,4,0,-4,0,3,1,2,12,0,6,12
3,4,0,-4,0,3,1,2,11,0,6,12
3,4,0,-3,0,3,1,2,11,0,6,12
3,4,0,-3,0,3,1,2,11,0,6,13
3,4,0,-3,0,3,1,2,11,0,6,13
3,4,0,-3,1,3,1,3,12,0,6,13
3,4,0,-3,1,3,1,3,12,0,6,14
3,4,0,-3,1,3,1,3,12,0,6,14
3,4,0,-3,1,3,1,3,12,0,6,14
3,4,0,-3,1,3,1,4,12,0,6,14
3,4,0,-3,0,3,1,4,12,0,6,14
3,4,0,-3,0,3,1,4,12,0,6,14
3,4,0,-3,0,3,2,4,12,0,7,14
3,4,0,-3,0,3,2,5,12,0,7,15
3,4,0,-4,0,3,3,5,12,0,7,15
3,4,0,-4,0,3,3,6,13,0,7,15
3,4,0,-4,0,3,3,6,13,0,7,15
4,4,0,-4,0,3,3,6,13,0,7,15
4,4,0,-4,0,3,4,7,13,0,7,16
4,4,0,-4,0,3,4,7,13,0,7,16
4,4,0,-4,0,3,5,7,13,0,7,16
4,4,0,-4,0,3,5,8,13,0,7,16
3,5,0,-4,0,3,5,8,13,0,7,16
3,5,1,-4,0,3,5,8,13,0,7,16
3,5,1,-4,0,4,5,8,13,0,7,16
3,5,1,-4,0,4,5,8,12,0,7,16
3,5,1,-4,0,4,5,8,12,0,7,16
3,5,1,-4,0,4,5,8,11,0,7,16
3,5,1,-4,0,4,5,8,11,0,6,16
3,5,0,-3,0,4,5,8,11,0,6,16
3,5,0,-3,0,3,5,8,11,0,6,16
3,4,0,-3,0,3,5,8,11,0,6,16
3,4,0,-3,0,2,4,8,11,0,6,16
3,3,-1,-3,1,2,4,8,10,0,6,16
3,3,-1,-3,1,2,3,7,10,0,6,16
3,3,-1,-3,1,2,2,7,10,0,6,17
3,3,-1,-3,0,2,2,7,10,0,6,17
4,4,-1,-3,0,2,2,7,10,0,6,18
4,4,-1,-3,0,2,2,7,9,0,6,18
3,4,-1,-3,0,2,2,7,9,0,6,18
3,4,0,-3,0,2,2,7,9,-1,7,18
3,3,0,-3,0,2,2,7,9,-1,7,17
3,3,-1,-3,0,2,2,7,8,-1,7,17
3,3,-1,-2,1,2,2,7,8,-1,7,17
3,3,-1,-2,1,2,2,7,8,-1,7,17
3,2,-1,-2,1,2,2,6,7,-2,6,17
3,2,-1,-2,1,1,2,6,6,-2,5,16
3,2,-1,-2,1,1,2,6,6,-3,5,16
3,2,-1,-2,1,1,2,6,5,-3,5,16
2,2,-1,-2,0,1,2,6,5,-4,4,16
2,2,-1,-1,0,1,2,6,4,-4,4,16
2,1,-1,-1,0,1,2,6,4,-4,4,16
2,1,-1,-1,0,0,2,6,3,-4,4,17
2,1,-2,-1,0,0,2,6,3,-4,4,17
2,1,-2,-1,0,0,2,6,3,-4,4,17
2,1,-2,-1,0,0,1,5,3,-4,4,17
2,1,-1,-1,0,0,1,5,2,-4,4,17
2,1,-1,-1,0,1,0,5,2,-4,4,17
2,1,-1,-1,0,1,0,5,2,-4,4,17
1,1,-1,-1,0,1,0,5,2,-4,4,17
1,1,-1,0,0,1,0,5,2,-5,4,17
1,1,-1,0,-1,1,1,5,2,-5,4,17
1,1,-1,0,-1,1,1,6,2,-5,4,17
0,0,-1,0,-1,1,1,6,2,-5,4,17
0,0,-1,0,0,0,1,6,2,-4,4,18
0,0,-1,0,0,0,2,6,2,-4,4,18
0,0,-1,1,-1,0,2,6,2,-5,4,18
0,0,-1,1,-1,0,2,6,1,-5,4,18
0,0,-1,1,-1,0,2,6,1,-5,4,18
0,0,0,1,-1,1,2,6,1,-5,4,19
0,0,0,0,-1,1,2,6,1,-5,4,19
0,0,0,0,-1,1,2,6,0,-5,4,19
0,0,0,0,-1,1,2,6,0,-5,4,19
0,0,0,0,-1,1,2,6,0,-5,4,19
0,0,0,0,-1,0,2,6,0,-5,4,19
0,0,0,0,-1,0,2,6,0,-5,4,19
0,0,0,0,-1,0,2,6,0,-5,4,19
0,0,0,0,-1,0,2,6,0,-5,4,19
0,0,0,0,-1,0,2,6,-1,-4,4,19
0,0,0,0,-1,1,2,6,-1,-4,3,19
0,0,0,0,-1,1,2,6,-1,-4,3,19
0,1,1,0,-1,2,2,6,-1,-4,3,19
0,1,1,0,-1,2,2,6,-1,-4,3,20
0,1,1,0,-1,2,2,6,-1,-4,4,20
0,1,1,0,-1,2,2,6,-2,-4,4,20
0,1,1,0,-1,2,2,6,-2,-4,4,20
0,1,1,0,-1,2,2,6,-3,-4,4,20
0,1,0,0,-1,1,2,6,-3,-4,4,20
0,1,0,0,-1,1,2,6,-3,-3,4,20
0,1,0,0,-1,1,2,6,-2,-3,4,20
0,1,0,0,-1,1,2,6,-2,-3,4,20
0,1,0,0,-1,1,2,6,-2,-3,4,20
0,1,0,0,-1,1,2,6,-2,-3,3,20
0,1,0,0,-1,1,2,6,-2,-3,3,20
0,1,0,0,-1,1,2,6,-2,-3,4,20
0,2,1,0,-1,1,2,7,-3,-3,4,21
0,2,1,0,-1,1,3,7,-3,-3,4,21
0,2,1,0,-1,2,3,7,-3,-3,4,21
0,2,2,0,-1,2,3,7,-3,-3,4,21
0,2,2,0,-2,2,3,7,-3,-3,3,21
0,2,2,0,-2,2,3,7,-3,-3,3,21
0,1,1,0,-2,2,3,7,-4,-3,3,21
