leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-3,-4,2,1,-3,0,-2,-5,-6,-6,-4
0,-6,-8,4,3,-6,0,-6,-10,-13,-13,-8
0,-5,-6,3,2,-4,0,-6,-11,-13,-13,-8
0,-1,-3,2,0,-1,0,-6,-10,-12,-12,-7
0,1,0,0,-1,1,1,-5,-8,-10,-11,-5
0,3,1,0,-1,2,1,-4,-8,-10,-11,-5
1,4,1,-1,0,3,2,-4,-8,-10,-11,-5
2,6,3,-3,-1,5,5,-3,-7,-8,-10,-5
1,8,5,-3,-2,7,9,-1,-5,-7,-9,-4
1,9,7,-4,-4,9,12,1,-2,-5,-10,-4
0,10,8,-4,-5,10,19,5,0,-5,-12,-5
-1,11,10,-4,-6,12,31,9,2,-4,-14,-6
-3,13,14,-4,-9,14,35,15,9,1,-12,-6
-3,16,18,-5,-11,18,33,23,19,9,-7,-4
-3,20,21,-7,-12,21,32,31,28,18,-1,0
-3,22,23,-8,-14,23,31,36,34,25,4,3
-2,23,24,-9,-14,24,30,40,39,32,11,7
1,28,25,-13,-13,27,29,45,47,41,22,15
9,38,26,-22,-10,33,29,51,56,52,37,26
17,49,29,-33,-7,40,29,56,66,67,58,40
24,61,33,-42,-6,48,28,57,76,84,85,59
31,73,38,-51,-4,56,20,48,80,99,113,77
38,84,44,-60,-3,64,8,27,73,109,137,95
45,95,48,-68,-2,71,-2,5,62,115,161,112
54,106,50,-79,1,78,-12,-15,53,123,186,130
64,116,50,-89,6,84,-23,-35,46,129,209,145
72,121,47,-95,11,85,-39,-54,37,128,219,154
76,115,36,-95,18,77,-54,-70,24,116,212,150
75,95,17,-85,27,58,-64,-79,10,96,189,133
70,72,0,-70,34,37,-72,-86,-6,72,160,111
64,54,-12,-58,37,21,-81,-94,-27,47,130,92
59,39,-22,-48,39,9,-88,-99,-49,17,93,70
51,24,-28,-36,39,-2,-89,-99,-73,-20,41,41
36,10,-28,-22,31,-8,-84,-95,-93,-55,-9,13
23,2,-23,-11,21,-9,-76,-89,-99,-72,-36,-1
16,0,-19,-7,16,-8,-71,-81,-95,-73,-40,-5
13,-1,-17,-5,14,-8,-67,-73,-88,-69,-37,-5
9,-3,-15,-2,11,-8,-62,-63,-77,-62,-34,-6
5,-6,-14,1,8,-9,-54,-49,-65,-53,-32,-8
5,-9,-17,2,10,-12,-46,-37,-51,-45,-29,-10
8,-9,-19,2,12,-13,-39,-26,-39,-38,-26,-10
6,-8,-17,2,10,-12,-32,-17,-29,-31,-22,-10
5,-7,-14,2,8,-10,-26,-10,-20,-24,-18,-8
5,-4,-12,1,8,-7,-22,-5,-14,-18,-15,-6
7,-2,-12,-1,8,-6,-18,-3,-10,-14,-12,-4
7,0,-11,-3,8,-4,-11,-1,-7,-11,-10,-3
8,2,-9,-4,8,-3,-3,0,-6,-10,-10,-2
7,2,-8,-4,6,-2,-2,0,-6,-9,-10,-2
4,1,-6,-1,4,-2,2,1,-4,-8,-10,-2
4,0,-6,-1,4,-2,11,2,-3,-8,-10,-3
6,0,-8,-2,6,-4,10,1,-2,-8,-10,-4
6,-1,-9,-1,6,-4,5,1,-1,-7,-10,-4
3,-2,-8,0,4,-4,4,1,-1,-6,-9,-3
1,-2,-7,2,2,-3,3,2,0,-5,-8,-3
0,-2,-5,2,1,-2,2,3,0,-5,-8,-3
-1,-2,-4,2,0,-2,1,3,0,-5,-8,-3
-1,-2,-4,3,0,-2,0,4,0,-5,-8,-3
-1,-3,-4,3,0,-2,1,5,0,-5,-8,-3
-1,-3,-5,3,1,-3,4,5,1,-5,-8,-3
0,-4,-6,3,1,-3,2,5,2,-4,-8,-3
0,-4,-6,3,1,-4,-2,5,2,-4,-9,-3
1,-4,-8,3,3,-5,2,4,1,-5,-9,-4
2,-6,-10,3,4,-7,12,4,1,-5,-9,-5
2,-7,-12,3,6,-9,9,5,1,-5,-9,-5
2,-7,-13,3,6,-10,3,5,1,-5,-9,-5
3,-7,-13,3,7,-10,4,5,1,-5,-9,-5
4,-7,-14,3,8,-10,5,5,1,-5,-10,-6
4,-8,-14,4,8,-10,5,5,1,-6,-10,-6
2,-10,-14,5,7,-11,7,5,1,-6,-10,-6
1,-11,-15,7,6,-12,9,5,1,-6,-10,-7
0,-13,-15,8,6,-13,6,6,1,-6,-11,-7
-1,-14,-16,9,6,-15,2,6,1,-6,-11,-7
-1,-15,-16,9,6,-15,0,6,1,-6,-11,-8
-1,-15,-16,9,6,-16,1,6,1,-6,-11,-8
-1,-16,-17,9,7,-17,1,6,1,-7,-11,-8
-2,-17,-17,11,6,-17,0,6,0,-8,-12,-9
-3,-17,-16,11,5,-16,0,7,0,-8,-12,-9
-1,-15,-16,10,6,-15,1,8,1,-8,-12,-9
2,-15,-19,8,9,-16,2,8,0,-8,-13,-10
3,-17,-23,8,11,-20,2,6,-1,-10,-15,-12
3,-18,-25,8,12,-21,3,6,-1,-10,-16,-13
3,-19,-25,9,13,-22,7,8,0,-9,-15,-12
0,-21,-24,11,11,-22,13,8,1,-8,-14,-12
-2,-22,-22,12,9,-22,20,9,3,-8,-13,-12
-1,-21,-22,12,9,-20,27,11,4,-7,-12,-12
0,-20,-23,11,10,-20,29,12,4,-6,-12,-11
2,-19,-23,10,11,-21,29,13,5,-6,-12,-11
2,-19,-23,9,11,-21,27,13,6,-5,-12,-11
2,-19,-24,9,12,-21,24,13,6,-4,-12,-11
2,-19,-24,8,12,-21,23,13,6,-3,-11,-11
3,-18,-24,8,12,-21,21,13,7,-3,-10,-10
4,-17,-23,7,13,-20,19,13,7,-3,-9,-10
6,-16,-23,6,14,-20,18,14,8,-2,-9,-10
6,-16,-24,6,14,-20,18,14,9,-2,-9,-10
6,-16,-23,6,13,-19,18,16,10,-1,-9,-9
5,-15,-22,6,12,-18,19,17,12,1,-7,-9
4,-13,-20,5,11,-16,21,18,14,3,-6,-8
4,-11,-17,3,10,-14,25,20,16,5,-4,-7
3,-8,-14,3,8,-11,30,20,17,7,-2,-5
3,-6,-12,2,6,-8,32,21,19,8,0,-4
4,-4,-11,1,6,-7,32,21,19,8,0,-4
6,-2,-10,-1,7,-5,32,21,20,8,1,-2
6,1,-7,-2,5,-2,33,23,23,11,3,0
4,3,-3,-3,2,0,33,24,25,13,4,1
2,3,-1,-3,0,2,33,24,26,15,6,2
4,6,0,-5,1,4,31,24,28,17,7,4
5,10,2,-7,1,6,27,26,30,20,10,6
6,12,4,-9,0,9,24,27,32,22,12,7
6,15,6,-9,0,11,20,28,33,23,13,8
6,16,7,-9,-2,12,19,28,35,24,14,9
5,17,9,-9,-3,13,19,28,36,25,15,11
5,18,11,-10,-4,15,17,29,38,27,16,12
6,20,11,-13,-3,16,14,30,40,30,18,12
6,22,12,-14,-3,17,13,32,42,31,19,13
5,22,14,-13,-5,18,15,33,43,33,20,13
2,21,17,-11,-8,19,16,33,45,35,22,15
-2,21,21,-8,-12,21,18,36,47,37,24,16
-4,21,24,-7,-15,23,18,38,50,39,27,18
-3,22,23,-8,-14,23,17,39,51,40,28,18
0,23,21,-10,-11,23,16,40,53,41,28,19
2,24,20,-12,-10,23,16,41,54,43,29,20
2,25,21,-13,-10,24,16,41,56,45,30,21
2,25,21,-12,-10,24,16,42,57,47,32,22
3,26,20,-13,-9,23,15,42,59,48,34,22
4,27,20,-14,-8,23,15,44,61,49,35,23
6,28,20,-15,-8,24,15,46,63,51,37,24
6,27,18,-15,-7,23,14,47,65,52,39,25
7,27,16,-15,-5,22,13,48,66,53,40,26
8,27,16,-17,-5,22,13,49,68,56,42,27
8,27,17,-17,-5,23,13,50,70,58,44,28
8,27,16,-17,-4,23,15,50,71,59,45,28
9,27,15,-17,-3,21,16,50,73,61,47,28
11,29,15,-18,-3,22,18,51,74,62,49,29
13,30,14,-20,-1,22,20,51,75,62,50,30
15,30,12,-21,0,21,24,51,76,62,51,30
17,30,10,-22,1,21,25,51,76,63,52,31
18,31,10,-23,3,22,21,52,78,65,54,32
18,31,11,-23,2,23,14,52,79,67,55,33
17,32,12,-23,2,23,12,52,80,69,58,35
14,32,15,-22,0,24,16,53,82,71,60,37
9,32,20,-19,-6,26,21,55,84,73,64,39
7,31,22,-18,-7,26,18,55,84,74,65,40
10,32,19,-19,-5,25,10,54,84,73,65,39
11,32,18,-20,-4,25,8,53,83,73,65,39
11,32,18,-21,-4,26,8,53,83,73,66,40
11,31,18,-21,-4,25,6,53,83,73,67,41
12,31,16,-21,-2,24,3,51,82,73,67,41
15,33,15,-23,0,24,3,49,82,73,67,42
