leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-20,2,4,2,1,0
-1,-1,0,1,0,-1,-53,4,10,5,2,0
-2,-2,0,2,-1,-1,-72,6,13,7,3,0
-2,-2,0,2,-1,-1,-83,8,16,9,4,1
-1,-2,-1,2,0,-1,-88,10,18,10,5,4
0,-1,-2,1,0,-1,-90,11,19,11,6,6
0,-1,-2,0,1,-1,-91,12,20,13,7,8
1,0,-1,0,1,0,-92,12,21,14,8,8
0,0,-1,0,1,0,-92,12,22,15,8,8
0,-1,-2,1,0,-1,-92,11,22,15,8,7
-1,-3,-2,2,0,-2,-92,10,21,15,8,6
-1,-3,-2,2,0,-2,-92,10,21,15,8,6
0,-1,-2,0,0,-2,-91,11,22,16,9,7
0,0,-2,0,1,-1,-90,13,24,18,10,9
0,0,-2,0,1,-1,-92,14,25,19,11,11
0,-1,-3,0,1,-2,-95,14,25,19,12,11
1,-1,-3,0,2,-2,-98,13,25,19,12,9
3,1,-3,-2,3,0,-100,12,26,20,12,9
7,5,-3,-6,4,1,-99,13,27,22,13,9
8,6,-3,-7,5,2,-99,13,27,22,14,9
7,5,-3,-6,4,2,-99,13,27,22,14,10
6,5,-2,-6,4,2,-97,14,27,23,15,12
5,4,-2,-5,3,2,-95,14,27,23,15,13
5,3,-2,-4,3,1,-93,13,27,23,15,14
6,3,-3,-4,4,1,-91,13,27,24,16,14
6,4,-3,-5,4,1,-90,12,27,25,16,13
7,4,-3,-5,4,2,-89,10,27,26,16,12
7,4,-3,-5,4,2,-88,10,27,26,16,12
6,4,-3,-5,4,2,-87,10,27,26,16,12
6,4,-3,-5,5,1,-86,10,27,26,16,14
6,4,-3,-5,5,1,-85,10,28,27,16,15
6,4,-3,-5,5,1,-84,10,28,27,16,15
4,2,-3,-3,4,0,-83,10,27,27,16,15
1,-1,-3,0,2,-1,-82,9,26,27,15,14
0,-2,-3,1,1,-2,-82,8,25,27,14,13
1,-1,-3,0,2,-1,-82,7,25,27,14,12
4,2,-3,-3,4,0,-80,7,26,27,15,12
7,5,-3,-6,5,1,-78,7,26,27,15,14
7,5,-3,-6,5,1,-77,6,26,27,15,15
5,3,-3,-4,4,1,-76,6,25,27,15,15
4,2,-2,-3,3,1,-76,5,24,26,14,15
5,3,-2,-4,3,1,-75,5,24,26,14,14
6,4,-3,-5,4,1,-75,4,23,25,14,14
6,3,-3,-4,4,1,-74,3,23,24,14,14
3,2,-2,-2,2,0,-74,2,22,22,13,13
1,0,-1,-1,1,0,-73,1,21,20,13,13
3,0,-3,-2,2,0,-72,1,20,18,12,13
6,2,-4,-4,5,0,-71,0,20,18,12,14
9,5,-4,-7,6,1,-69,0,20,17,13,14
9,5,-4,-7,6,1,-68,-1,19,17,13,15
8,4,-3,-6,5,1,-68,-2,18,15,12,14
