leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,0,0,0,0,0
-2,-1,1,1,-2,0,2,1,-1,0,-1,1
-3,-1,1,2,-3,0,3,1,-2,0,-2,1
-3,-2,1,2,-3,0,4,1,-2,0,-2,1
-4,-3,1,4,-3,-1,4,1,-3,-1,-3,1
-7,-6,0,6,-3,-3,4,0,-4,-1,-4,0
-9,-8,0,8,-4,-4,4,0,-4,-2,-5,0
-8,-7,0,7,-4,-4,5,0,-4,-2,-4,0
-5,-4,0,4,-2,-2,5,0,-4,-2,-3,1
-3,-2,0,2,-2,-1,6,0,-4,-2,-3,1
-2,-1,0,1,-1,-1,6,0,-4,-2,-3,1
-1,0,0,0,-1,0,6,1,-4,-2,-2,1
-1,0,0,0,-1,0,6,1,-3,-1,-2,1
-1,-1,0,1,-1,-1,7,1,-3,-1,-2,2
-2,-3,-1,2,-1,-2,7,1,-4,-1,-2,1
-3,-4,-1,3,-1,-2,7,0,-4,-2,-3,1
-4,-5,0,4,-1,-2,6,0,-5,-3,-3,1
-4,-5,0,5,-2,-2,5,-1,-6,-3,-4,0
-4,-3,0,4,-2,-1,5,-1,-6,-3,-4,0
-3,-2,1,3,-2,-1,5,-1,-6,-4,-4,0
-3,-2,0,3,-2,-1,5,-1,-7,-4,-5,0
-3,-3,0,3,-2,-1,4,-1,-7,-5,-5,-1
-4,-3,0,3,-2,-1,4,-1,-7,-5,-6,-1
-4,-4,0,4,-2,-2,5,-1,-7,-5,-6,-2
-4,-5,0,4,-2,-2,4,-1,-7,-5,-7,-2
-5,-5,0,5,-2,-3,4,-2,-8,-6,-8,-3
-7,-6,0,6,-4,-3,4,-3,-8,-6,-8,-4
-7,-6,0,6,-4,-3,4,-3,-9,-7,-8,-4
-5,-4,0,4,-3,-2,3,-3,-8,-6,-8,-4
-3,-3,0,3,-2,-2,3,-2,-7,-6,-7,-3
-3,-5,-1,4,-2,-3,3,-2,-7,-5,-7,-2
-4,-6,-1,5,-2,-4,3,-3,-7,-5,-7,-2
-3,-4,-1,4,-1,-3,3,-3,-7,-5,-6,-2
-2,-3,0,3,-1,-2,3,-3,-7,-4,-6,-2
-2,-3,-1,3,-1,-3,3,-2,-8,-5,-5,-2
