leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-1,-1,0,1,-1,-1,-2,1,0,-2,1
2,-2,-4,0,3,-3,-3,-4,3,0,-4,2
4,-2,-6,-1,5,-3,-4,-6,4,0,-6,3
5,-1,-7,-2,6,-4,-5,-7,5,0,-7,3
6,-1,-7,-3,7,-4,-5,-7,5,0,-7,3
6,-1,-8,-3,7,-4,-6,-8,6,0,-8,3
6,-2,-8,-2,7,-4,-6,-8,6,0,-8,3
5,-2,-7,-2,6,-4,-6,-8,6,0,-9,3
5,-3,-7,-1,6,-4,-6,-8,6,-1,-9,3
5,-3,-7,-1,5,-4,-6,-8,6,-1,-9,3
5,-3,-7,-1,5,-4,-6,-8,6,-1,-9,3
5,-3,-7,-2,6,-4,-6,-8,6,-1,-9,3
6,-3,-8,-2,6,-4,-6,-8,6,-1,-9,3
5,-3,-8,-2,7,-4,-6,-8,6,-1,-9,3
5,-3,-8,-1,7,-4,-6,-8,6,-1,-9,3
5,-3,-8,-1,7,-5,-6,-8,6,-1,-9,4
4,-4,-8,0,7,-5,-6,-8,6,-1,-9,4
4,-4,-8,0,6,-6,-6,-8,6,-1,-9,4
4,-4,-8,0,6,-6,-6,-8,6,-1,-9,4
4,-4,-8,0,6,-6,-6,-8,6,-1,-9,4
4,-4,-8,0,6,-6,-6,-8,6,-1,-9,4
5,-4,-8,-1,7,-6,-6,-8,6,-1,-9,4
6,-3,-8,-1,7,-6,-6,-8,6,-1,-9,4
5,-4,-8,-1,7,-6,-6,-8,5,-1,-9,4
5,-4,-8,-1,6,-6,-7,-8,5,-1,-9,4
5,-4,-8,-1,6,-6,-7,-8,5,-1,-9,4
5,-3,-8,-1,7,-5,-6,-8,6,-1,-9,4
5,-3,-8,-1,7,-5,-6,-8,6,-1,-9,4
5,-3,-8,-1,7,-5,-7,-8,6,-1,-9,4
5,-3,-8,-1,7,-5,-7,-8,6,-1,-9,4
5,-3,-8,-1,7,-5,-7,-8,6,-1,-9,4
5,-3,-8,-1,7,-5,-7,-8,6,-1,-9,4
4,-3,-8,0,6,-5,-7,-8,6,-2,-9,4
4,-3,-8,0,6,-5,-7,-8,6,-2,-10,4
4,-3,-8,0,6,-5,-7,-8,6,-2,-10,4
4,-3,-8,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-7,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-7,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,6,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,5,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,5,-5,-7,-8,5,-2,-10,4
4,-3,-6,0,5,-5,-7,-9,5,-2,-10,4
4,-3,-6,0,5,-5,-7,-9,4,-2,-10,4
4,-4,-6,0,5,-5,-7,-9,4,-2,-10,4
4,-4,-7,0,5,-5,-7,-9,4,-2,-10,4
4,-4,-7,0,5,-5,-7,-9,4,-2,-10,5
4,-4,-7,0,5,-5,-8,-9,4,-2,-10,5
4,-4,-7,0,5,-5,-8,-9,4,-2,-10,5
4,-4,-7,0,5,-5,-8,-9,4,-1,-10,5
4,-3,-7,-1,6,-5,-8,-9,4,-1,-10,5
4,-3,-7,-1,6,-5,-8,-9,3,-1,-9,5
4,-3,-7,-1,5,-5,-8,-9,3,-1,-9,5
4,-3,-6,-1,5,-5,-9,-9,2,-1,-9,5
4,-3,-6,-1,5,-4,-9,-9,2,-1,-9,5
4,-3,-6,-1,5,-4,-9,-9,2,-1,-9,5
4,-3,-6,-1,5,-4,-9,-9,2,-2,-9,5
4,-3,-6,-1,5,-4,-9,-9,2,-2,-9,5
4,-3,-6,-1,5,-4,-9,-9,2,-2,-9,5
3,-3,-6,0,5,-4,-9,-9,2,-2,-9,5
3,-3,-6,0,5,-4,-9,-9,2,-2,-9,5
3,-3,-6,0,5,-4,-9,-9,2,-2,-9,5
3,-3,-6,0,5,-4,-9,-9,2,-2,-9,5
3,-3,-6,0,5,-5,-9,-9,2,-2,-9,5
3,-4,-7,0,5,-5,-9,-9,2,-2,-9,5
3,-4,-7,0,5,-5,-9,-9,2,-2,-9,5
3,-3,-7,0,5,-5,-9,-9,2,-2,-9,5
3,-3,-7,0,5,-4,-8,-8,2,-2,-9,5
4,-1,-6,-1,5,-4,-8,-8,2,-1,-8,5
4,0,-6,-2,5,-3,-7,-7,3,-1,-8,5
4,0,-5,-3,5,-3,-7,-7,3,-1,-8,5
4,0,-5,-3,5,-2,-6,-6,3,-1,-8,5
4,0,-4,-3,4,-2,-6,-6,3,-1,-8,5
5,0,-4,-3,4,-2,-6,-5,3,-1,-8,5
5,0,-4,-3,4,-2,-6,-5,3,-1,-8,5
5,0,-3,-3,4,-2,-6,-5,3,0,-8,5
4,0,-3,-3,4,-2,-6,-5,3,0,-8,5
4,0,-3,-3,4,-2,-6,-5,3,0,-8,5
4,0,-3,-3,4,-2,-6,-5,3,0,-8,6
4,0,-4,-2,4,-2,-6,-5,3,0,-8,6
4,-1,-4,-2,4,-2,-6,-5,2,0,-8,6
4,-1,-4,-2,5,-2,-6,-5,2,0,-8,6
4,-1,-5,-2,5,-2,-6,-5,2,0,-8,6
4,-1,-5,-2,5,-3,-6,-5,2,-1,-8,6
4,-1,-6,-2,5,-3,-6,-5,2,-2,-9,6
4,-2,-6,-2,6,-4,-6,-5,1,-3,-10,6
4,-2,-7,-1,6,-4,-7,-5,0,-4,-11,6
4,-2,-7,-1,6,-5,-7,-6,0,-4,-11,6
4,-2,-7,-1,6,-5,-8,-7,-1,-5,-11,6
4,-3,-8,-1,6,-5,-9,-8,-1,-5,-11,6
4,-3,-8,0,6,-5,-10,-9,-2,-5,-11,6
4,-3,-8,0,6,-5,-10,-10,-2,-5,-11,6
5,-3,-8,-1,7,-5,-10,-11,-2,-5,-11,6
5,-2,-8,-2,7,-5,-10,-11,-2,-5,-11,6
5,-2,-8,-2,7,-5,-11,-12,-3,-5,-11,6
5,-2,-8,-2,7,-5,-11,-12,-3,-5,-11,6
6,-2,-8,-2,8,-5,-12,-13,-4,-5,-12,6
6,-2,-8,-2,8,-5,-12,-13,-4,-6,-12,6
6,-3,-8,-1,8,-6,-12,-14,-4,-6,-12,6
5,-4,-9,-1,8,-6,-13,-15,-4,-6,-12,6
5,-4,-10,0,8,-7,-13,-16,-5,-6,-12,6
5,-5,-11,0,9,-8,-13,-15,-5,-6,-12,6
6,-5,-11,0,9,-8,-13,-15,-5,-6,-12,6
7,-4,-11,-1,9,-8,-12,-14,-5,-6,-12,6
8,-3,-11,-2,9,-8,-12,-13,-5,-6,-12,6
8,-3,-11,-3,9,-8,-12,-12,-4,-6,-12,6
8,-3,-11,-3,10,-8,-12,-12,-4,-6,-12,6
8,-4,-11,-3,10,-8,-11,-12,-4,-6,-12,6
8,-4,-11,-3,10,-8,-11,-12,-4,-7,-12,6
8,-4,-12,-2,10,-8,-11,-12,-4,-7,-12,6
8,-5,-12,-2,10,-8,-11,-12,-4,-7,-12,7
7,-5,-12,-1,10,-9,-11,-12,-4,-6,-12,7
6,-5,-11,0,9,-9,-11,-12,-3,-5,-11,7
4,-6,-10,0,8,-8,-11,-12,-3,-4,-10,7
3,-6,-10,1,7,-8,-11,-12,-2,-3,-9,7
2,-7,-9,1,6,-8,-11,-12,-2,-3,-9,7
2,-7,-9,2,6,-8,-10,-12,-2,-3,-9,7
2,-6,-8,2,6,-7,-10,-12,-2,-3,-9,7
1,-6,-8,2,5,-7,-10,-12,-2,-3,-8,7
1,-6,-7,3,5,-7,-10,-12,-2,-3,-8,7
0,-7,-7,3,4,-7,-10,-12,-2,-3,-8,7
0,-7,-7,3,4,-7,-10,-12,-2,-2,-8,7
0,-7,-7,3,4,-7,-10,-13,-2,-2,-8,7
0,-7,-7,2,4,-7,-10,-13,-2,-2,-8,7
0,-7,-7,2,3,-6,-10,-14,-2,-2,-8,7
0,-7,-7,2,3,-6,-10,-14,-2,-2,-8,7
0,-7,-7,3,3,-6,-10,-14,-2,-2,-8,7
0,-7,-7,3,4,-6,-10,-13,-3,-3,-8,7
0,-7,-7,3,4,-6,-10,-13,-3,-3,-8,7
0,-7,-7,3,4,-7,-10,-13,-3,-4,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-4,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-4,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-4,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-3,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-3,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-2,-8,7
0,-7,-7,3,4,-7,-9,-12,-3,-2,-8,7
0,-7,-7,3,4,-7,-9,-11,-3,-3,-8,7
0,-7,-8,3,4,-7,-9,-11,-3,-3,-8,7
0,-8,-8,3,4,-7,-9,-11,-3,-3,-8,7
0,-8,-8,3,4,-7,-9,-11,-3,-2,-7,7
0,-8,-8,3,4,-7,-9,-11,-3,-2,-7,7
0,-8,-7,3,4,-7,-9,-10,-3,-1,-7,8
0,-8,-7,3,4,-7,-9,-10,-3,-1,-7,8
0,-8,-7,3,4,-7,-9,-10,-2,-1,-7,8
0,-8,-7,3,4,-7,-8,-10,-2,-1,-7,8
0,-8,-7,3,4,-7,-8,-10,-2,-1,-7,8
-1,-8,-7,3,3,-7,-8,-10,-2,-1,-7,8
-1,-8,-7,4,3,-7,-8,-10,-2,-1,-7,8
-1,-8,-7,4,3,-7,-7,-10,-2,-1,-7,8
-1,-8,-7,4,3,-7,-7,-9,-2,-1,-7,8
-1,-8,-7,4,3,-7,-7,-9,-2,-1,-7,8
-1,-8,-7,4,3,-7,-7,-9,-2,-1,-7,8
-1,-8,-7,4,3,-7,-7,-9,-2,-1,-7,8
-2,-9,-7,5,2,-7,-6,-9,-2,-1,-7,8
-2,-9,-6,5,2,-6,-6,-9,-2,-1,-6,8
-3,-8,-5,5,1,-6,-5,-8,-2,-1,-6,8
-3,-8,-5,5,0,-5,-4,-7,-1,-1,-5,8
-2,-7,-5,4,0,-5,-3,-5,-1,0,-5,8
-2,-7,-5,4,1,-5,-3,-3,0,0,-5,8
-2,-7,-6,4,2,-6,-2,-1,0,0,-5,8
0,-7,-7,3,3,-6,-2,1,0,0,-5,8
3,-6,-10,1,6,-7,-2,4,0,0,-6,8
8,-5,-13,-2,11,-8,-3,10,-2,-2,-7,8
15,-4,-18,-6,16,-10,-3,18,-4,-4,-10,8
22,-2,-23,-10,22,-11,-4,27,-6,-7,-13,8
30,0,-28,-15,29,-13,-4,38,-8,-10,-17,8
40,4,-35,-23,38,-14,-6,49,-12,-15,-22,8
52,9,-43,-31,48,-16,-8,61,-17,-20,-27,8
65,14,-50,-40,58,-17,-10,71,-21,-25,-33,8
76,18,-56,-48,66,-18,-14,77,-25,-29,-37,8
83,22,-60,-53,72,-18,-17,79,-29,-32,-40,8
87,26,-61,-57,74,-17,-19,76,-31,-33,-41,8
86,28,-56,-57,71,-13,-21,67,-31,-33,-41,8
79,28,-50,-54,64,-10,-23,53,-29,-31,-38,9
68,25,-43,-46,55,-8,-23,35,-27,-27,-34,9
54,19,-35,-37,45,-7,-22,16,-23,-22,-28,9
39,13,-27,-26,33,-6,-20,-3,-17,-15,-20,9
24,6,-18,-15,21,-5,-16,-20,-9,-6,-12,9
8,0,-8,-4,8,-4,-11,-33,-1,2,-3,9
-6,-4,1,5,-4,-1,-6,-43,7,11,5,9
-18,-8,10,12,-14,1,-1,-51,13,18,12,9
-27,-10,17,18,-22,3,3,-56,18,24,17,9
-34,-12,23,22,-28,5,4,-60,20,27,20,9
-38,-12,27,24,-32,7,4,-62,19,27,22,9
-40,-11,29,25,-34,9,2,-62,18,26,22,9
-40,-10,30,24,-35,10,0,-60,16,25,21,9
-39,-9,30,23,-34,10,0,-57,15,24,21,9
-37,-9,28,23,-32,9,-1,-54,14,23,20,9
-34,-11,24,22,-29,7,-2,-51,13,22,19,9
-32,-13,18,22,-25,3,-3,-48,11,20,18,9
-29,-15,13,21,-21,-1,-3,-45,8,17,15,9
-25,-16,8,19,-17,-3,-3,-40,6,15,13,9
-20,-15,5,17,-13,-4,-2,-33,5,12,10,9
-15,-12,2,14,-9,-4,-2,-26,4,10,8,9
-11,-10,1,10,-6,-4,-1,-18,4,9,7,9
-7,-8,0,7,-3,-4,0,-10,5,8,7,9
-3,-5,-1,5,-1,-3,2,-4,5,8,6,9
0,-3,-2,2,0,-2,4,2,5,8,5,9
2,0,-2,0,1,-1,5,7,5,8,4,9
3,1,-2,-2,2,0,6,10,5,8,3,9
4,2,-2,-4,2,0,7,12,5,8,3,9
4,3,-2,-4,2,1,7,13,6,8,3,9
3,3,-1,-4,2,2,8,14,6,9,4,9
3,3,0,-4,1,2,8,15,7,9,4,9
3,3,1,-4,1,2,8,15,7,9,5,9
3,3,1,-4,1,2,8,16,7,9,5,10
3,3,1,-4,1,2,8,16,7,9,4,10
3,3,0,-3,1,2,8,16,7,9,4,10
2,3,0,-3,1,2,8,16,7,9,4,10
2,3,0,-3,0,2,8,17,7,9,4,10
2,3,1,-3,0,2,8,17,7,9,4,10
2,3,1,-3,0,2,8,18,7,9,4,10
2,3,1,-3,0,2,8,18,7,9,4,10
2,3,1,-3,0,2,8,18,6,9,4,10
2,3,1,-3,0,2,8,18,6,9,5,10
2,3,1,-3,0,3,7,18,6,10,5,10
2,4,1,-3,0,3,7,18,6,10,5,10
1,3,1,-3,0,3,7,18,6,9,5,10
1,3,2,-2,0,3,7,18,6,9,5,10
0,2,2,-2,0,2,8,19,6,9,5,10
0,2,1,-2,0,2,8,19,6,9,4,10
1,1,0,-2,0,1,8,20,6,8,4,10
1,1,0,-1,0,0,8,20,6,8,3,10
0,0,-1,-1,1,0,8,20,6,7,3,10
0,0,-1,-1,1,0,8,20,6,7,3,10
0,0,-1,-1,1,0,8,20,6,8,3,10
0,0,0,-1,0,0,8,20,6,8,4,10
0,1,1,-1,0,1,7,20,6,9,5,10
0,1,1,-1,0,2,7,20,6,10,6,10
0,2,2,-1,-1,2,7,21,6,10,6,10
0,2,2,-1,-1,2,7,21,6,9,6,10
0,2,2,-1,-1,2,8,22,6,9,5,10
0,2,2,-1,-1,2,8,22,6,8,5,10
0,2,1,-1,-1,1,8,22,6,7,4,10
0,1,1,-1,-1,1,8,23,6,6,4,10
0,1,1,-1,0,1,8,23,6,6,4,10
0,1,1,-1,0,1,8,23,6,6,4,10
0,1,0,-2,0,1,8,23,6,7,4,11
0,2,0,-2,0,1,8,23,6,7,4,11
0,2,0,-2,0,1,8,23,6,7,4,11
0,1,0,-1,0,1,9,24,6,7,4,11
0,1,0,-1,0,0,9,24,7,8,4,11
0,1,0,-1,0,0,9,25,7,8,4,11
0,1,0,-1,0,0,10,25,7,8,4,11
0,0,0,-1,0,0,10,25,7,8,4,11
0,0,0,0,0,0,10,25,7,8,4,11
0,-1,0,0,0,0,10,25,7,8,5,11
0,0,0,-1,0,0,10,25,7,9,5,11
0,0,0,-1,0,0,10,26,7,9,5,11
0,1,1,-1,0,1,10,26,7,10,5,11
0,1,1,-1,0,1,10,27,7,10,5,11
0,1,1,-1,0,1,10,27,6,9,5,11
0,1,1,-2,0,1,10,28,7,9,5,11
0,1,0,-2,0,1,11,28,7,9,5,11
0,1,0,-1,0,1,11,28,7,8,5,11
0,1,0,-1,0,1,12,28,7,8,5,11
0,1,0,-1,0,1,12,29,7,8,5,11
0,2,1,-2,0,1,12,29,7,8,5,11
0,3,1,-2,0,2,12,29,7,8,5,12
0,3,2,-2,0,2,12,29,7,8,5,12
0,4,2,-2,0,2,11,30,7,9,5,12
0,4,3,-3,-1,3,11,30,7,9,6,12
0,4,3,-3,-1,4,11,30,7,10,6,12
0,4,4,-3,-2,4,11,30,7,10,6,12
0,4,4,-3,-2,5,11,30,7,10,6,12
0,5,5,-3,-2,5,11,31,7,10,6,12
0,5,5,-3,-2,5,11,31,7,10,6,12
0,5,4,-3,-2,4,12,32,7,9,6,12
0,4,4,-2,-2,4,12,32,7,9,6,12
0,4,3,-2,-1,3,12,33,7,9,5,12
0,3,3,-2,-1,3,12,33,7,9,5,12
1,3,3,-2,0,3,12,34,7,9,5,12
1,3,3,-2,0,3,12,34,7,8,5,12
1,3,3,-2,0,3,12,35,7,8,5,12
1,4,3,-3,0,3,12,35,7,8,5,13
1,5,3,-3,0,4,11,35,7,8,5,13
1,6,5,-4,-1,5,11,35,8,9,6,13
0,7,6,-4,-2,7,11,36,8,10,6,13
0,8,7,-4,-3,8,11,36,8,10,7,13
0,8,8,-5,-3,8,11,37,8,11,7,13
0,8,8,-5,-3,8,12,38,8,10,7,13
0,8,7,-5,-2,7,13,39,8,9,7,13
1,7,6,-5,-2,6,14,40,8,8,6,13
1,6,5,-5,-1,5,14,41,9,7,5,13
1,6,4,-4,-1,4,15,42,9,7,5,13
1,5,3,-4,0,4,16,42,10,8,5,13
1,5,3,-4,0,4,16,43,10,8,5,13
1,5,3,-4,0,4,16,43,10,8,5,13
1,6,4,-4,-1,5,16,44,10,8,6,13
1,6,5,-4,-2,5,16,45,10,9,6,13
0,7,6,-4,-2,6,16,46,10,9,7,14
0,7,7,-4,-3,7,16,46,10,10,7,14
0,8,8,-5,-3,8,16,47,10,10,8,14
0,8,8,-5,-3,8,17,48,10,11,8,14
0,9,8,-6,-3,9,17,49,10,11,8,14
0,10,9,-6,-3,9,17,50,10,11,8,14
0,10,9,-6,-3,9,18,51,10,11,8,14
0,10,9,-6,-4,9,18,52,10,11,8,14
0,10,9,-6,-4,9,18,53,9,11,8,14
0,10,9,-6,-4,10,18,54,9,11,8,14
1,10,9,-6,-4,10,19,56,8,12,8,14
1,11,9,-6,-3,10,19,57,8,12,9,14
2,11,9,-7,-3,10,19,58,8,13,9,14
2,12,9,-7,-3,10,19,59,8,13,9,14
2,13,10,-7,-4,11,20,60,8,13,9,14
2,13,10,-8,-4,11,20,61,8,14,9,14
2,13,11,-8,-4,12,21,62,9,14,9,15
2,13,11,-8,-4,12,21,63,9,14,9,15
2,13,11,-9,-4,12,22,64,9,14,9,15
2,13,11,-9,-4,12,22,65,9,14,9,15
2,14,12,-9,-4,12,23,66,9,14,9,15
2,15,13,-9,-5,13,23,66,10,15,10,15
2,15,13,-9,-5,14,23,67,11,16,11,15
1,15,14,-9,-5,14,23,67,11,17,12,15
1,15,14,-8,-5,14,24,68,11,17,12,15
1,15,13,-8,-5,14,24,69,11,16,12,15
1,15,13,-8,-5,13,24,70,11,16,11,15
1,15,13,-8,-5,13,25,71,11,15,11,15
1,14,13,-8,-5,13,25,72,11,15,11,15
1,14,13,-8,-5,13,25,72,11,14,11,15
1,14,13,-8,-5,13,25,73,11,14,11,15
1,13,13,-7,-5,13,25,73,11,14,11,15
1,13,12,-7,-5,12,25,74,11,14,11,16
1,14,12,-8,-5,12,26,74,11,14,11,16
1,14,12,-8,-5,12,26,75,11,14,11,16
1,14,13,-8,-5,12,26,75,11,14,11,16
1,14,13,-8,-5,13,26,75,11,14,11,16
2,15,13,-8,-5,13,26,75,11,14,11,16
2,15,13,-8,-4,13,26,75,11,14,11,16
2,15,13,-8,-5,13,26,75,11,14,11,16
1,15,14,-8,-5,14,25,75,11,14,12,16
1,15,14,-9,-6,14,25,75,10,14,12,16
2,16,14,-9,-5,14,24,74,10,15,12,16
2,16,14,-10,-5,14,24,74,10,15,13,16
2,16,14,-9,-5,14,25,73,10,16,13,16
2,16,14,-9,-5,14,25,73,10,15,12,16
2,15,13,-8,-5,14,25,72,10,14,12,16
2,15,13,-8,-5,14,25,71,10,14,12,16
1,15,13,-8,-5,14,25,70,11,14,12,17
1,14,13,-8,-5,13,25,69,11,14,12,17
1,13,12,-8,-5,12,25,68,11,14,11,17
1,13,12,-7,-5,12,25,67,10,14,11,17
0,13,12,-7,-5,12,24,65,10,14,12,17
1,14,12,-8,-5,13,24,64,10,14,13,17
2,15,13,-9,-4,13,24,63,10,15,13,17
2,15,13,-9,-4,14,23,61,9,16,14,17
2,15,14,-8,-5,14,22,60,9,16,14,17
1,15,14,-8,-5,14,21,58,8,15,13,17
1,15,14,-8,-5,14,21,56,7,15,13,17
1,15,14,-8,-5,14,20,54,6,14,12,17
1,15,14,-8,-5,14,20,52,6,14,12,17
1,15,14,-8,-5,14,19,49,6,13,12,17
1,14,13,-8,-5,13,18,48,5,13,12,17
0,13,13,-7,-5,13,17,46,4,13,11,17
0,12,12,-6,-5,12,17,44,4,13,11,18
0,11,11,-6,-5,11,16,42,4,13,12,18
0,11,10,-6,-4,10,16,40,4,13,12,18
1,10,9,-6,-4,10,15,37,3,12,11,18
1,10,9,-6,-3,9,14,34,2,11,11,18
0,9,8,-5,-3,9,13,32,1,10,11,18
0,9,8,-5,-3,8,13,29,1,10,11,18
0,8,9,-4,-3,8,12,27,1,10,11,18
0,8,9,-4,-4,8,10,25,1,9,11,18
0,8,9,-4,-4,8,9,22,0,9,11,18
-1,8,9,-4,-5,8,9,20,0,9,11,18
-1,8,9,-3,-5,8,8,18,0,9,10,18
-1,8,9,-3,-5,8,8,16,-1,8,10,18
-1,8,10,-3,-5,8,7,14,-1,8,10,18
-1,9,10,-4,-5,9,6,12,-2,9,10,18
-1,8,10,-3,-5,9,5,10,-2,9,10,18
-2,8,10,-3,-5,8,4,8,-2,8,10,19
-2,7,9,-2,-5,7,3,6,-3,7,9,19
-2,6,8,-2,-4,6,3,4,-4,6,8,19
-2,5,7,-2,-4,5,3,3,-4,6,8,19
-2,4,6,-2,-3,5,2,1,-5,5,8,19
-2,3,5,-1,-3,4,2,0,-5,5,8,19
-2,2,5,0,-3,4,2,-2,-5,5,8,19
-2,1,4,0,-3,3,1,-3,-5,6,9,19
-2,0,4,0,-2,2,1,-5,-5,7,10,19
-3,0,4,1,-3,2,0,-6,-5,8,11,19
-4,0,5,1,-3,2,0,-6,-5,8,11,19
-5,0,5,1,-4,2,0,-7,-6,7,11,20
-4,1,5,1,-4,3,0,-8,-7,6,10,20
-4,1,5,1,-4,3,0,-8,-7,6,10,20
-4,0,5,1,-4,2,0,-9,-7,5,9,20
-5,-1,4,2,-3,1,0,-10,-7,4,8,20
-5,-3,3,3,-3,0,0,-10,-7,3,8,20
-5,-4,2,4,-2,-1,0,-11,-7,2,8,20
-5,-4,1,4,-2,-1,0,-11,-8,2,8,20
-5,-4,1,4,-2,-1,0,-12,-8,3,8,20
-6,-4,2,4,-3,-1,0,-12,-7,4,9,20
