leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-4,-5,0,5,-2,-3,3,6,1,0,-5,-7
-10,-13,-2,12,-4,-8,9,15,3,2,-13,-18
-13,-18,-5,16,-4,-12,13,22,6,3,-17,-24
-14,-21,-6,18,-5,-14,15,26,7,4,-20,-27
-17,-21,-3,19,-7,-12,16,28,8,4,-22,-30
-20,-20,0,20,-10,-10,16,28,7,4,-25,-33
-21,-19,3,20,-12,-8,15,27,7,3,-26,-35
-22,-18,4,20,-13,-7,15,27,7,3,-27,-36
-22,-18,4,20,-13,-7,15,28,8,4,-27,-36
-21,-19,2,20,-11,-8,16,29,10,6,-25,-35
-18,-20,-1,19,-8,-10,16,31,12,8,-23,-34
-16,-20,-3,18,-6,-11,16,32,13,10,-22,-33
-16,-19,-2,18,-7,-10,16,32,14,11,-21,-33
-18,-17,2,18,-10,-8,15,31,14,11,-22,-33
-19,-16,4,17,-12,-6,15,30,14,11,-22,-33
-19,-15,5,17,-12,-5,15,30,14,11,-21,-33
-18,-14,5,16,-12,-5,15,29,14,12,-20,-32
-18,-15,4,16,-11,-6,15,29,15,13,-19,-31
-16,-16,1,16,-8,-8,15,30,16,15,-17,-30
-14,-16,-2,15,-6,-9,14,30,17,16,-16,-29
-13,-15,-2,15,-5,-9,14,29,17,16,-15,-29
-14,-14,0,14,-7,-7,13,28,16,16,-15,-28
-14,-12,2,14,-8,-5,12,26,15,15,-15,-28
-14,-12,3,13,-8,-4,11,25,14,15,-15,-28
-13,-11,2,12,-8,-4,10,24,14,16,-14,-28
-13,-12,1,12,-7,-5,10,23,15,16,-13,-27
-11,-12,-1,12,-5,-6,9,23,15,17,-12,-25
-9,-12,-4,11,-2,-7,9,22,16,18,-11,-24
-7,-11,-5,10,-1,-8,8,21,15,18,-9,-23
-7,-10,-3,9,-2,-6,7,19,14,18,-9,-22
-7,-9,-1,9,-3,-5,6,18,13,18,-8,-22
-6,-9,-1,8,-3,-4,5,16,12,17,-8,-21
-6,-8,-1,7,-2,-4,4,15,11,17,-8,-21
