leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-4,-4,0,4,-2,-2,0,3,-1,2,-1,-10
-11,-11,0,11,-5,-6,0,8,-4,5,-3,-25
-14,-14,0,14,-7,-8,1,12,-5,7,-4,-34
-14,-16,-1,15,-6,-9,3,13,-5,9,-4,-38
-13,-17,-3,14,-5,-10,4,14,-5,10,-4,-40
-11,-16,-4,13,-3,-10,4,14,-5,11,-4,-42
-10,-15,-5,12,-2,-10,6,14,-5,12,-4,-42
-9,-16,-7,12,-1,-11,7,14,-5,14,-3,-41
-8,-15,-7,11,-1,-11,7,13,-5,15,-2,-40
-7,-13,-6,10,-1,-9,6,10,-6,15,-2,-41
-5,-11,-6,8,0,-8,5,8,-7,15,-1,-41
-4,-9,-5,6,0,-7,5,7,-7,16,0,-41
-3,-6,-2,5,-1,-4,6,7,-7,17,0,-41
-2,-2,0,2,-2,-1,6,5,-7,16,0,-41
-2,0,2,1,-2,1,6,4,-8,16,-1,-42
-2,2,4,0,-3,3,6,4,-8,16,0,-42
-2,3,5,-1,-4,4,7,6,-8,16,0,-41
-1,4,5,-2,-3,4,8,7,-7,17,1,-40
0,5,5,-3,-3,5,8,8,-7,17,2,-40
1,8,7,-5,-3,8,7,7,-7,17,1,-40
2,11,9,-7,-4,10,8,6,-8,17,1,-41
4,12,8,-8,-2,10,9,6,-8,16,0,-41
7,13,6,-10,0,10,9,6,-8,15,0,-41
9,14,5,-11,2,10,10,6,-8,15,1,-39
10,14,4,-12,2,10,10,6,-8,15,1,-39
10,14,5,-12,2,10,11,5,-8,15,1,-39
10,14,5,-12,2,10,11,4,-8,15,2,-39
11,14,4,-13,3,9,12,4,-8,16,3,-37
12,14,2,-13,4,8,12,6,-6,18,5,-36
12,14,2,-13,5,7,13,8,-5,20,7,-35
14,15,2,-14,6,8,13,8,-5,21,7,-35
16,17,2,-16,7,9,13,8,-5,21,7,-36
17,19,2,-18,7,10,13,8,-5,21,6,-36
17,20,3,-18,6,11,13,8,-4,21,6,-36
18,22,4,-20,6,12,13,8,-4,20,6,-36
20,23,5,-21,7,14,13,7,-4,20,6,-36
21,25,5,-23,7,15,13,6,-4,20,6,-36
21,26,4,-24,8,15,13,6,-4,20,6,-36
22,26,3,-24,9,14,13,6,-4,20,7,-35
22,24,2,-23,9,13,13,7,-4,20,7,-35
22,24,2,-23,9,13,12,7,-4,20,7,-36
23,25,3,-24,9,14,11,8,-4,20,7,-36
25,26,3,-26,10,15,12,8,-3,21,8,-35
27,28,2,-28,12,15,13,9,-3,22,9,-35
29,29,1,-29,14,15,14,10,-2,23,9,-34
28,28,0,-29,14,14,15,11,0,25,10,-33
27,28,1,-28,13,14,15,11,0,26,11,-33
27,30,2,-29,12,16,16,11,1,26,12,-33
29,32,4,-31,12,18,16,11,1,26,12,-33
29,33,4,-31,12,19,16,11,1,25,11,-33
30,33,3,-31,13,18,17,12,1,24,11,-33
30,33,2,-31,13,18,17,12,1,23,10,-33
30,33,3,-31,13,18,17,12,0,22,9,-33
30,33,3,-31,13,18,17,12,0,22,9,-33
31,33,3,-32,14,18,16,13,0,22,9,-32
32,35,3,-33,14,18,15,12,0,21,9,-32
33,36,3,-34,14,19,14,12,0,21,9,-32
32,36,3,-34,14,19,14,12,-1,22,9,-32
32,36,3,-34,14,19,14,12,-1,22,9,-32
33,36,3,-34,14,19,14,13,0,22,9,-32
33,35,3,-34,14,19,14,13,0,22,8,-31
32,35,3,-34,14,19,15,13,0,22,8,-31
32,36,5,-34,14,20,15,13,0,22,8,-31
33,37,5,-35,14,21,15,13,0,22,9,-30
34,36,2,-34,16,19,16,14,0,22,10,-29
34,34,-1,-34,18,17,18,14,1,23,10,-28
36,33,-3,-34,19,16,18,14,0,23,10,-28
38,35,-3,-36,20,16,18,14,0,23,10,-28
39,37,-2,-38,20,17,18,13,0,23,10,-28
38,37,0,-38,19,18,18,12,0,23,10,-28
36,38,3,-37,16,20,18,12,0,22,10,-30
35,39,5,-37,15,22,18,12,0,20,9,-31
35,40,6,-38,15,23,18,13,1,19,9,-30
36,41,5,-38,16,23,18,14,1,18,9,-30
37,39,2,-38,18,20,18,14,1,18,8,-30
38,37,-1,-37,19,18,18,14,1,18,8,-30
38,39,0,-38,18,20,17,14,2,18,9,-29
37,41,4,-39,16,23,17,14,2,18,9,-29
36,43,7,-39,14,25,17,14,2,18,9,-29
37,44,7,-40,15,26,16,13,2,18,9,-29
39,44,7,-42,16,26,17,12,2,18,10,-28
40,44,5,-42,18,25,17,10,2,19,10,-28
40,44,4,-42,18,24,18,10,2,19,10,-28
39,44,3,-42,18,24,18,12,3,19,9,-28
40,44,3,-42,18,23,18,13,4,19,9,-27
40,43,3,-41,18,23,18,14,5,18,10,-27
39,42,3,-41,17,22,18,15,4,18,10,-28
39,42,3,-41,17,22,18,15,4,17,10,-28
41,43,2,-42,19,22,18,14,4,18,10,-27
43,43,0,-43,21,22,17,15,4,19,11,-27
43,42,0,-43,22,21,17,16,5,19,11,-26
43,43,0,-43,21,21,16,17,6,19,10,-26
43,44,0,-43,21,22,16,18,7,18,9,-27
43,44,0,-43,21,22,17,18,7,18,9,-28
43,44,0,-43,21,22,18,18,7,18,8,-28
43,44,1,-43,20,22,19,17,7,18,8,-28
44,46,3,-44,20,24,19,14,6,18,7,-28
44,47,4,-45,20,25,20,12,5,17,7,-28
44,48,4,-46,20,26,20,10,5,17,7,-28
44,48,4,-46,20,26,21,9,5,18,7,-28
43,49,5,-46,19,27,21,10,6,18,8,-27
43,49,5,-46,18,27,20,13,7,18,8,-26
44,48,4,-46,19,26,20,15,7,19,9,-25
45,47,3,-46,20,24,20,16,8,19,9,-25
45,46,2,-45,21,24,19,18,9,20,10,-25
45,46,2,-45,21,24,19,19,10,21,10,-24
45,48,3,-46,21,25,19,19,10,22,11,-24
46,49,3,-47,21,26,19,18,10,22,11,-24
46,49,2,-47,22,25,20,17,10,23,11,-24
47,48,0,-48,23,24,21,17,11,24,11,-23
49,48,-1,-48,24,23,21,17,10,23,10,-23
50,47,-2,-49,26,22,20,16,10,23,10,-23
52,49,-2,-50,26,23,19,15,9,23,10,-23
52,52,0,-52,26,26,19,14,9,23,10,-23
51,54,2,-52,25,28,19,14,9,23,10,-23
50,54,3,-52,24,29,18,14,9,23,10,-23
49,55,5,-52,22,30,17,14,8,23,10,-23
48,56,8,-52,20,32,16,14,8,23,10,-23
47,56,8,-52,19,32,16,14,8,24,11,-23
48,56,8,-52,20,31,18,15,9,24,11,-22
48,55,8,-51,20,31,19,15,8,23,11,-21
47,54,8,-50,19,31,19,15,8,23,11,-21
46,54,7,-49,19,31,18,16,7,22,10,-21
46,53,6,-49,20,30,18,16,7,22,11,-21
46,51,4,-48,21,28,18,16,6,22,12,-21
47,50,2,-49,22,26,18,16,6,23,13,-21
48,50,2,-49,23,26,18,16,7,24,14,-20
48,50,2,-49,23,26,18,16,7,25,15,-19
48,51,4,-49,21,28,19,16,7,25,15,-19
48,53,6,-50,21,29,18,15,6,24,14,-19
48,54,6,-50,21,30,18,14,6,24,14,-19
48,53,5,-50,21,29,19,13,7,24,15,-18
49,52,2,-50,23,27,19,12,8,24,15,-17
49,50,0,-50,24,26,18,12,8,25,16,-16
49,49,0,-49,24,25,17,12,8,24,16,-16
48,49,1,-49,23,25,15,12,7,24,16,-17
49,51,3,-50,22,27,14,12,6,23,15,-18
50,52,3,-51,23,28,14,12,6,22,15,-18
50,53,3,-51,23,28,15,13,6,22,15,-18
49,53,4,-50,22,28,15,13,6,22,15,-18
48,53,5,-50,21,29,15,13,7,23,15,-18
47,53,6,-50,20,29,16,12,8,24,16,-17
46,52,5,-50,20,28,17,12,8,24,16,-16
46,51,4,-49,21,27,18,12,9,24,16,-16
47,50,4,-49,21,27,19,12,9,25,16,-15
47,52,5,-49,20,29,19,11,9,25,15,-16
46,55,9,-50,18,32,19,11,9,24,14,-17
46,57,11,-51,17,34,18,13,10,24,14,-16
46,57,11,-51,18,34,18,14,10,24,14,-15
46,57,11,-51,18,33,17,15,10,24,14,-15
46,57,10,-51,18,33,17,16,10,24,13,-15
46,56,10,-51,18,32,17,17,11,24,14,-15
47,55,8,-51,19,31,17,17,12,26,16,-13
47,53,6,-50,20,30,17,17,13,27,17,-11
47,52,6,-49,20,29,17,17,14,28,18,-10
47,52,6,-49,20,29,18,17,15,29,19,-9
46,53,7,-49,19,30,18,17,15,29,18,-9
46,55,8,-50,19,31,18,17,15,28,17,-10
46,57,10,-51,18,33,18,16,14,26,16,-10
47,58,11,-52,18,34,17,13,12,25,15,-10
48,58,11,-52,18,34,15,11,11,25,15,-10
48,58,10,-52,18,34,14,11,12,25,15,-10
47,57,10,-51,18,34,14,11,13,26,16,-10
48,55,8,-51,19,32,14,12,14,27,17,-9
48,55,7,-51,20,31,13,12,14,28,18,-8
48,56,8,-52,20,32,12,12,14,28,18,-8
48,58,9,-52,20,33,10,11,14,28,18,-8
48,58,10,-53,19,33,9,11,14,28,17,-8
48,59,11,-53,18,34,8,11,13,28,17,-9
47,58,11,-52,18,35,8,11,13,28,17,-9
48,57,10,-52,18,34,8,13,13,28,18,-9
48,56,9,-52,19,33,8,13,13,28,17,-9
48,55,7,-52,19,32,8,13,13,28,17,-9
48,53,5,-51,20,30,8,12,13,28,16,-9
48,52,4,-50,21,29,9,12,13,28,16,-8
47,52,4,-49,21,28,10,12,13,28,16,-8
47,52,4,-49,21,28,10,11,12,27,16,-8
48,51,3,-49,22,28,9,11,11,26,15,-8
49,50,2,-49,23,26,9,10,11,26,15,-8
49,51,2,-50,23,27,8,9,10,26,15,-7
