leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,4,5,-1,-3,5,-1,-3,-2,-3,-3,-2
-4,11,15,-2,-10,13,-3,-8,-6,-8,-8,-5
-7,15,22,-3,-14,18,-4,-11,-8,-11,-11,-6
-9,17,25,-3,-17,20,-5,-12,-8,-13,-12,-7
-10,18,28,-4,-18,22,-5,-13,-9,-14,-13,-8
-10,21,30,-5,-19,25,-6,-14,-10,-15,-14,-9
-9,22,31,-6,-20,26,-7,-15,-11,-15,-15,-9
-9,22,31,-6,-20,26,-7,-15,-11,-15,-15,-9
-10,22,31,-6,-20,26,-7,-15,-10,-15,-15,-9
-10,22,31,-5,-20,26,-7,-15,-10,-15,-15,-9
-10,22,31,-5,-20,26,-7,-16,-10,-15,-15,-9
-10,22,32,-5,-21,27,-7,-16,-10,-15,-15,-9
-11,23,33,-5,-22,28,-7,-16,-9,-15,-14,-8
-11,23,34,-5,-22,28,-7,-16,-9,-14,-14,-8
-10,24,34,-6,-22,28,-7,-17,-10,-14,-14,-7
-10,24,35,-6,-23,29,-7,-17,-9,-14,-13,-7
-11,25,36,-6,-24,30,-7,-16,-9,-14,-13,-6
-12,25,36,-6,-23,30,-7,-16,-8,-13,-13,-6
-11,21,31,-5,-20,26,-6,-15,-7,-11,-11,-5
-10,16,26,-3,-18,21,-4,-13,-5,-8,-10,-3
-11,15,25,-2,-18,20,-3,-12,-4,-8,-9,-3
-11,15,26,-2,-18,20,-3,-12,-4,-9,-10,-3
-10,17,27,-3,-19,21,-4,-13,-5,-10,-10,-3
-10,19,29,-4,-20,23,-4,-13,-5,-10,-9,-2
-11,21,32,-4,-21,26,-5,-14,-4,-10,-8,-2
-11,23,34,-5,-22,28,-5,-15,-5,-10,-8,-1
-11,25,35,-6,-23,30,-6,-15,-5,-11,-9,-1
-11,26,37,-7,-24,31,-6,-16,-5,-11,-9,-1
-12,27,39,-7,-25,33,-7,-16,-5,-12,-9,-1
-12,29,41,-8,-27,35,-7,-17,-5,-12,-8,-1
-12,30,42,-9,-27,36,-8,-17,-5,-12,-8,0
-12,31,43,-9,-27,37,-8,-17,-5,-11,-8,1
-13,32,44,-9,-28,37,-8,-17,-5,-10,-7,2
-13,33,46,-9,-29,39,-8,-17,-4,-10,-7,3
-13,34,47,-10,-29,40,-9,-17,-4,-10,-7,4
-14,34,47,-10,-30,40,-9,-17,-4,-9,-6,4
-15,34,47,-9,-31,40,-8,-16,-3,-8,-6,4
-15,34,48,-9,-32,41,-8,-15,-2,-8,-6,4
-15,35,49,-10,-32,42,-8,-15,-2,-8,-6,4
-14,35,49,-10,-32,42,-7,-15,-2,-8,-6,4
-14,36,49,-10,-32,42,-7,-15,-2,-8,-6,4
-13,36,49,-11,-31,43,-8,-15,-2,-8,-6,4
-12,37,49,-11,-31,43,-8,-14,-2,-8,-6,4
-12,37,50,-12,-31,43,-8,-14,-1,-7,-5,5
-13,38,51,-12,-32,44,-8,-14,-1,-7,-4,5
-12,38,51,-13,-32,44,-8,-14,0,-6,-4,6
-12,38,50,-13,-31,44,-8,-13,0,-6,-3,6
-11,39,50,-13,-31,44,-8,-13,0,-5,-3,7
-11,39,49,-13,-30,44,-8,-12,1,-4,-2,7
-10,39,48,-13,-30,43,-8,-10,2,-3,-2,8
-11,40,49,-14,-30,44,-8,-9,2,-3,-1,8
-12,41,51,-14,-32,46,-8,-8,3,-2,-1,8
-12,40,52,-14,-32,46,-7,-7,4,-1,0,9
-12,39,51,-13,-32,45,-7,-6,4,0,1,9
-12,39,51,-13,-31,44,-7,-5,5,0,1,10
-11,39,50,-14,-31,44,-7,-4,5,1,2,10
-10,39,49,-14,-30,44,-6,-3,6,1,2,11
