leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-4,-1,3,3,-4,1,2,-8,-7,-6,-2,-2
-12,-3,8,8,-10,2,7,-18,-16,-14,-5,-4
-15,-4,11,10,-13,3,9,-20,-18,-16,-5,-5
-16,-5,12,11,-14,4,11,-18,-16,-15,-4,-5
-16,-5,11,11,-14,4,11,-14,-12,-12,-1,-3
-15,-5,10,10,-13,3,11,-9,-8,-9,1,-2
-14,-5,9,9,-11,2,11,-4,-3,-6,3,0
-11,-4,7,8,-9,1,11,2,1,-3,6,1
-8,-3,5,6,-7,1,10,7,5,0,8,2
-5,-2,2,3,-4,0,10,13,9,3,10,4
-2,-2,0,2,-1,-1,10,20,13,7,13,5
0,-2,-2,1,1,-2,10,25,17,10,15,7
2,-2,-5,0,3,-4,10,31,20,12,17,8
4,-3,-8,0,5,-6,10,35,23,14,18,9
5,-4,-10,0,7,-8,9,39,25,16,19,10
7,-4,-11,-1,9,-9,8,41,27,16,20,10
8,-4,-12,-1,10,-9,7,43,27,17,20,10
9,-4,-13,-2,11,-9,6,44,28,18,20,10
10,-5,-14,-3,12,-10,5,45,28,18,21,10
10,-5,-15,-3,13,-10,5,45,29,19,21,10
10,-5,-15,-2,13,-10,5,45,29,19,21,10
10,-5,-15,-2,13,-10,5,46,29,19,21,10
10,-5,-15,-2,13,-10,5,46,29,19,21,10
10,-5,-16,-2,13,-10,5,46,30,19,22,10
11,-5,-16,-2,14,-10,4,46,30,19,21,10
11,-4,-16,-3,14,-10,4,46,30,19,21,11
11,-4,-16,-3,14,-11,3,46,30,19,21,11
12,-4,-17,-3,14,-11,3,46,30,19,22,12
12,-4,-17,-3,14,-12,3,46,30,19,22,12
12,-4,-17,-3,15,-12,3,46,31,19,21,12
12,-4,-17,-3,15,-12,2,46,31,19,21,12
12,-4,-17,-3,15,-11,2,46,32,19,21,12
12,-4,-17,-3,15,-11,2,46,32,19,21,12
13,-4,-17,-3,15,-11,1,46,32,20,21,12
13,-4,-17,-4,16,-11,1,46,32,20,21,12
13,-4,-18,-4,16,-11,1,46,33,21,22,12
13,-4,-18,-4,16,-11,1,46,33,22,22,12
13,-4,-18,-5,16,-11,1,46,33,22,23,12
13,-4,-18,-5,16,-11,1,46,33,23,23,12
14,-4,-18,-5,16,-11,0,46,33,23,23,12
14,-4,-18,-5,16,-11,0,47,33,23,23,12
14,-4,-18,-5,16,-11,0,47,33,23,23,12
14,-4,-18,-5,17,-11,0,47,33,24,23,12
14,-4,-18,-5,17,-11,0,48,33,24,24,12
15,-3,-18,-5,17,-11,-1,48,33,24,24,11
15,-3,-18,-5,17,-11,-1,49,34,24,24,11
15,-3,-18,-5,17,-11,-1,49,34,24,24,11
15,-3,-18,-5,17,-11,-1,49,34,24,24,11
