leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,1,0,-1,0,1,0,0,2,0
-1,0,1,0,-1,0,0,1,0,-1,3,-1
-2,6,8,-2,-5,6,-2,0,-3,-4,2,-4
-2,10,13,-4,-7,11,-4,-2,-5,-6,1,-6
-3,7,9,-2,-6,8,-3,0,-4,-6,2,-6
-3,-6,-3,4,0,-5,0,4,0,-3,4,-2
-3,-23,-20,13,8,-22,6,10,5,2,9,3
-2,-39,-36,20,16,-38,11,15,11,7,13,8
-1,-46,-45,24,21,-46,14,18,14,10,17,11
0,-43,-43,21,21,-43,13,17,14,11,18,10
0,-32,-32,16,16,-32,10,14,11,9,17,8
-2,-22,-21,12,10,-22,7,11,8,7,15,5
-3,-20,-17,12,7,-19,5,9,7,6,14,5
-3,-28,-24,16,11,-26,7,12,9,8,16,7
-2,-41,-39,22,18,-41,12,17,13,13,21,12
-2,-56,-55,29,26,-56,17,22,18,18,26,16
-2,-68,-66,35,32,-67,21,26,22,22,30,18
-2,-71,-70,36,33,-71,22,27,24,24,31,19
-3,-65,-63,34,29,-64,20,25,23,23,31,17
-4,-54,-51,29,24,-53,17,22,21,21,29,14
-4,-46,-42,25,20,-44,15,20,19,19,28,12
-3,-44,-41,24,19,-43,15,20,18,18,28,11
-3,-48,-45,26,21,-47,16,21,20,19,29,12
-3,-53,-51,28,24,-52,17,22,21,20,30,13
-2,-55,-53,28,25,-54,18,22,22,20,30,12
-2,-47,-46,24,22,-47,16,20,21,19,29,10
-1,-33,-32,17,15,-32,13,16,18,16,27,7
-2,-17,-15,10,6,-16,8,12,14,12,24,2
-3,-5,-2,5,0,-3,3,8,10,8,21,-1
-3,0,2,3,-2,1,1,7,8,7,20,-3
-2,-4,-1,4,0,-2,1,8,9,7,20,-3
-2,-11,-9,7,3,-10,4,12,11,9,22,-1
-2,-18,-16,9,7,-17,6,15,14,11,23,1
-1,-19,-18,9,8,-19,7,16,15,13,24,1
-2,-14,-13,7,5,-14,6,16,15,12,23,0
-3,-5,-2,4,0,-3,4,14,13,10,21,-2
-3,5,8,0,-5,6,1,12,11,8,19,-4
-3,9,13,-2,-7,11,0,11,9,6,17,-5
-2,6,9,0,-5,7,0,11,9,7,17,-5
-2,-3,0,3,-1,-2,1,14,11,9,18,-2
-2,-13,-11,7,4,-12,4,16,13,11,20,0
-2,-19,-17,9,6,-18,6,18,15,12,22,2
-2,-19,-17,9,6,-18,6,18,16,12,22,2
-2,-12,-10,7,4,-11,4,17,15,10,21,0
-2,-2,-1,3,0,-2,3,16,13,9,20,-1
-2,3,5,0,-2,4,2,15,12,8,19,-2
-2,2,5,1,-2,3,2,16,12,8,19,-3
-2,-4,-2,4,0,-3,4,18,14,9,20,-1
-1,-13,-12,7,5,-13,6,21,17,11,22,0
-1,-21,-19,10,8,-20,8,22,19,12,23,2
-2,-22,-20,11,8,-22,8,23,20,12,24,2
-3,-15,-12,8,5,-14,7,21,20,11,23,0
-2,-1,0,2,0,-1,5,18,17,8,21,-3
-2,10,12,-2,-5,10,3,15,15,6,19,-6
-2,15,17,-4,-8,16,1,13,14,4,17,-8
-3,11,14,-2,-8,12,1,13,14,4,17,-8
-4,1,5,2,-5,3,2,15,16,5,17,-7
-5,-7,-3,5,-2,-5,3,16,17,7,18,-6
-4,-10,-6,5,0,-8,5,17,19,9,19,-5
-3,-6,-3,4,-1,-5,5,17,20,10,19,-6
-4,2,5,1,-5,3,4,16,19,9,18,-7
-5,9,14,0,-9,12,3,15,19,8,17,-8
-6,13,19,-1,-11,16,2,16,19,8,16,-9
-5,11,16,-1,-9,13,3,17,20,8,16,-9
-4,4,7,0,-5,5,5,20,23,9,16,-8
-3,-4,-2,3,-1,-3,6,22,25,11,16,-7
-3,-10,-8,5,1,-9,7,23,27,12,16,-6
