leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
7,3,-4,-5,6,0,-6,-7,-2,0,2,2
19,8,-10,-13,14,-1,-17,-19,-5,1,6,6
23,11,-12,-17,17,-1,-23,-25,-7,3,8,8
24,11,-12,-18,18,-1,-27,-23,-9,4,10,9
26,12,-13,-19,20,0,-29,-15,-9,5,10,10
28,14,-14,-21,21,0,-30,-6,-9,6,10,11
29,15,-14,-22,22,1,-30,-2,-9,8,11,12
30,16,-14,-23,22,1,-31,-4,-9,10,12,14
31,16,-14,-24,23,1,-31,-12,-9,11,12,15
31,16,-14,-23,23,1,-32,-21,-9,12,12,15
30,15,-14,-23,23,1,-32,-27,-10,12,12,16
31,16,-15,-23,24,1,-32,-27,-10,12,11,16
32,17,-15,-24,24,1,-32,-19,-10,12,12,16
32,17,-15,-24,23,2,-31,-10,-9,13,13,17
31,17,-14,-24,23,2,-31,-3,-9,14,13,18
32,18,-13,-25,23,3,-31,-3,-9,15,13,18
32,19,-12,-26,22,4,-31,-9,-9,15,13,19
31,19,-11,-25,21,5,-31,-18,-9,14,12,19
28,17,-10,-22,19,4,-32,-25,-10,14,12,20
27,17,-10,-21,19,4,-32,-27,-11,14,11,21
28,17,-10,-22,19,4,-33,-23,-12,14,11,22
28,17,-11,-22,20,3,-33,-14,-12,14,10,23
28,17,-11,-22,20,3,-32,-6,-12,14,10,24
28,16,-11,-22,20,2,-32,-3,-12,13,11,24
28,16,-11,-22,20,2,-31,-6,-11,13,11,24
28,16,-11,-22,19,2,-30,-14,-11,13,11,24
28,17,-11,-22,20,3,-29,-21,-10,14,12,24
30,18,-11,-24,21,3,-28,-24,-10,14,12,25
29,18,-11,-23,20,3,-28,-21,-10,12,12,25
27,17,-10,-21,19,3,-27,-13,-11,11,12,25
27,15,-11,-21,19,2,-27,-5,-12,9,10,24
27,13,-13,-20,20,0,-27,-1,-14,6,8,23
24,12,-12,-18,18,0,-26,-2,-14,4,7,21
21,11,-10,-17,16,0,-25,-8,-14,3,6,21
20,11,-10,-16,15,0,-23,-16,-15,2,6,20
22,11,-11,-17,17,0,-22,-21,-15,1,5,20
24,12,-12,-18,18,0,-21,-20,-15,0,4,20
24,12,-11,-17,18,0,-20,-13,-15,-2,4,20
23,11,-10,-17,17,1,-20,-4,-15,-3,3,20
22,11,-10,-17,17,1,-19,1,-15,-3,3,20
23,12,-10,-18,17,1,-19,2,-16,-3,3,20
23,12,-10,-18,17,1,-18,-3,-16,-4,2,19
23,11,-11,-17,17,0,-17,-10,-16,-5,0,18
21,9,-11,-16,17,0,-15,-16,-16,-7,-1,16
20,8,-11,-14,16,-1,-14,-16,-15,-8,-3,15
18,7,-11,-12,15,-1,-12,-11,-15,-8,-3,14
18,6,-11,-12,15,-1,-11,-2,-14,-8,-3,15
18,6,-11,-12,15,-1,-10,5,-14,-9,-2,15
18,6,-12,-12,15,-2,-9,8,-14,-11,-3,15
18,5,-12,-12,15,-3,-8,6,-14,-12,-4,15
18,6,-12,-13,15,-2,-7,0,-14,-12,-4,14
17,7,-10,-13,14,0,-5,-5,-12,-11,-4,14
16,8,-8,-12,12,0,-4,-7,-11,-10,-4,14
15,8,-7,-11,11,1,-3,-3,-11,-11,-4,14
15,9,-6,-12,11,2,-2,5,-10,-12,-5,14
15,9,-7,-12,11,2,0,13,-9,-14,-6,14
15,8,-7,-11,11,1,0,17,-8,-14,-7,14
13,8,-5,-10,9,1,1,17,-8,-14,-7,14
12,7,-4,-9,8,2,2,11,-7,-14,-7,13
11,7,-4,-9,7,2,3,6,-6,-14,-7,13
12,9,-3,-10,8,2,5,3,-5,-13,-6,13
13,11,-3,-12,8,4,7,5,-3,-12,-5,15
13,11,-2,-12,8,4,8,12,-2,-11,-4,16
13,11,-2,-12,8,4,9,19,-1,-12,-4,17
14,11,-2,-12,8,4,10,24,-1,-13,-4,17
14,12,-1,-12,8,5,12,26,-1,-13,-5,17
13,11,0,-11,6,5,13,22,0,-13,-6,18
11,11,0,-11,5,6,15,16,0,-12,-6,18
11,11,1,-11,5,6,16,12,2,-11,-5,19
