leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,2,3,0,-2,2,-2,-4,-8,-2,-3,0
-4,5,10,0,-7,7,-4,-10,-19,-6,-8,-1
-10,6,17,2,-13,11,-2,-11,-24,-9,-13,-5
-16,6,23,5,-19,14,1,-9,-24,-11,-16,-9
-21,5,26,8,-23,15,4,-7,-23,-12,-18,-12
-23,3,27,10,-25,14,6,-4,-21,-13,-19,-13
-24,1,26,11,-24,13,9,-1,-17,-11,-18,-14
-23,-2,22,12,-22,10,11,3,-12,-9,-16,-14
-22,-5,17,13,-19,6,13,6,-8,-7,-15,-14
-19,-8,11,13,-15,1,14,9,-3,-4,-14,-13
-15,-9,6,12,-11,-2,14,11,1,0,-12,-13
-12,-10,2,11,-7,-5,13,12,5,4,-10,-12
-10,-12,0,11,-5,-7,13,13,9,8,-8,-11
-9,-13,-3,11,-3,-8,12,14,12,11,-6,-10
-8,-13,-5,10,-1,-10,11,15,16,14,-4,-8
-7,-14,-6,10,0,-11,11,17,21,18,-1,-7
-6,-14,-8,10,0,-11,11,18,25,21,1,-6
-4,-14,-9,9,2,-12,11,19,28,24,3,-5
-2,-14,-10,7,4,-12,11,20,31,27,5,-4
0,-12,-11,6,5,-12,11,21,33,29,7,-3
0,-12,-11,5,6,-11,12,22,35,31,8,-2
0,-11,-10,5,6,-11,12,22,37,33,9,-1
0,-11,-10,5,5,-11,12,22,37,34,10,-1
0,-11,-10,5,5,-10,12,22,38,35,11,-1
-1,-11,-10,5,4,-10,12,22,39,35,11,-1
-1,-11,-10,6,4,-10,12,22,39,35,11,-1
0,-11,-10,6,4,-10,12,23,40,36,11,-1
0,-10,-10,5,4,-10,12,23,40,36,11,-1
0,-10,-10,5,5,-10,12,23,40,36,11,-1
0,-10,-10,5,5,-10,12,22,39,36,10,-1
0,-10,-10,5,5,-11,12,22,39,36,10,-2
0,-10,-10,5,6,-11,12,22,39,36,10,-2
