leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,0,-2,0,-1
-1,-1,0,1,-1,0,1,0,-1,-5,-2,-2
-3,-2,1,2,-2,0,2,0,-2,-6,-2,-3
-3,-2,1,3,-2,0,2,0,-2,-7,-3,-3
-4,-2,2,3,-2,0,3,0,-2,-8,-3,-3
-4,-2,2,3,-2,0,3,0,-3,-8,-3,-3
-4,-2,2,3,-2,0,3,0,-3,-8,-3,-3
-5,-2,2,4,-3,0,4,1,-3,-8,-3,-3
-6,-2,3,4,-4,0,4,1,-3,-7,-3,-3
-6,-2,3,5,-4,0,4,2,-2,-7,-3,-3
-6,-3,3,5,-4,0,4,2,-2,-7,-3,-3
-5,-3,2,4,-3,0,4,2,-3,-7,-3,-3
-4,-3,1,4,-2,0,4,2,-3,-7,-3,-3
-4,-3,1,4,-2,0,4,2,-3,-7,-3,-3
-4,-3,1,4,-2,0,4,2,-3,-7,-3,-3
-4,-3,1,4,-2,0,5,2,-2,-6,-3,-3
-5,-2,3,4,-4,0,6,4,0,-5,-2,-3
-6,-1,5,4,-5,1,8,8,4,-2,0,-2
-6,0,7,3,-6,3,10,11,8,2,2,0
-6,2,8,2,-6,5,11,14,13,8,7,4
-4,4,8,0,-6,6,11,17,18,14,14,10
-2,6,8,-1,-5,7,10,21,24,21,21,17
1,8,7,-4,-3,8,10,27,31,30,30,25
5,10,5,-6,0,8,9,31,38,40,41,34
9,11,3,-10,3,8,7,29,41,48,51,44
15,12,-1,-13,8,7,2,21,40,53,61,54
21,13,-7,-17,14,4,-4,9,34,56,70,63
28,13,-14,-20,21,0,-12,-6,25,56,76,71
34,13,-20,-23,28,-3,-21,-24,11,50,77,75
39,14,-25,-25,32,-5,-32,-45,-6,40,72,73
43,14,-28,-27,36,-7,-43,-66,-25,27,62,67
45,12,-33,-27,40,-10,-54,-86,-45,11,47,56
46,7,-37,-26,42,-14,-64,-103,-65,-7,29,41
44,3,-40,-23,42,-18,-72,-117,-83,-25,10,24
38,-2,-39,-18,39,-20,-77,-129,-100,-44,-9,6
30,-6,-35,-11,32,-20,-78,-141,-118,-63,-27,-11
19,-10,-30,-3,25,-19,-77,-153,-138,-85,-46,-27
8,-16,-25,5,17,-20,-74,-161,-156,-107,-63,-43
0,-22,-21,12,11,-21,-71,-165,-168,-123,-76,-54
-6,-25,-19,16,7,-21,-68,-161,-169,-129,-81,-60
-8,-25,-17,17,5,-20,-66,-153,-163,-127,-80,-60
-9,-24,-15,17,3,-19,-64,-142,-154,-121,-76,-58
-10,-23,-12,16,2,-17,-62,-132,-143,-114,-72,-56
-10,-21,-10,16,0,-15,-59,-121,-133,-107,-68,-53
-11,-20,-8,16,-1,-13,-54,-110,-122,-98,-63,-50
-10,-18,-7,15,-1,-12,-48,-97,-109,-88,-56,-45
-9,-15,-6,13,-1,-10,-41,-82,-94,-76,-48,-39
-7,-13,-6,10,0,-8,-34,-67,-79,-63,-39,-32
-5,-10,-5,8,0,-7,-27,-54,-65,-52,-32,-26
-4,-9,-4,6,0,-6,-22,-43,-53,-43,-25,-21
-2,-7,-4,5,1,-5,-17,-32,-43,-35,-20,-17
-1,-6,-4,4,1,-4,-13,-23,-34,-28,-15,-14
-1,-5,-3,3,1,-3,-8,-15,-26,-22,-11,-11
-2,-3,-1,2,0,-1,-4,-9,-19,-17,-8,-8
-2,-2,0,2,-1,0,-1,-5,-15,-13,-5,-6
-3,-1,2,2,-2,0,0,-2,-12,-10,-3,-4
-3,-1,3,2,-3,1,2,0,-10,-8,-2,-3
-4,-1,3,2,-4,1,3,1,-8,-7,-2,-3
