leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,1,-1,0,1,0,0,0,0,0
-3,-1,1,3,-3,0,3,1,0,0,-1,-1
-5,-2,2,4,-4,0,4,1,0,-1,-1,-2
-5,-3,1,4,-3,-1,5,1,0,-1,-1,-2
-4,-3,0,4,-1,-2,5,1,0,-1,-1,-2
-2,-3,-1,3,0,-3,5,1,0,-1,-1,-3
-1,-3,-3,2,1,-3,5,1,0,-1,-2,-3
0,-3,-4,2,2,-3,4,0,-1,-2,-2,-4
0,-3,-4,2,2,-3,3,0,-1,-2,-3,-4
-1,-4,-3,3,1,-3,3,0,-1,-2,-2,-3
-3,-4,-1,4,-1,-3,4,1,-1,-1,-1,-3
-6,-3,1,5,-3,-1,4,2,0,0,0,-2
-7,-3,2,5,-4,-1,5,2,0,0,-1,-2
-5,-4,1,4,-3,-2,5,2,0,0,-1,-2
-4,-4,0,4,-1,-3,5,2,0,0,-1,-2
-5,-5,-1,5,-1,-3,5,2,0,0,-1,-2
-4,-6,-2,5,0,-4,5,1,0,-1,-1,-2
-1,-5,-4,3,2,-4,4,0,-1,-2,-2,-3
1,-3,-5,1,4,-5,3,0,-2,-2,-2,-4
2,-3,-5,0,4,-5,2,0,-3,-2,-2,-4
0,-4,-5,1,3,-5,2,0,-3,-2,-2,-3
-1,-5,-3,3,1,-4,2,0,-2,-1,-2,-3
-4,-5,-1,4,0,-3,3,0,-2,-1,-1,-2
-5,-5,0,5,-2,-2,3,1,-1,-1,-1,-2
-5,-4,0,5,-2,-2,3,1,-1,0,-1,-2
-5,-4,0,4,-2,-2,3,1,-1,0,0,-1
-5,-4,0,4,-2,-2,3,1,-1,0,0,-1
-4,-4,-1,4,-1,-2,4,1,-2,-1,0,-1
-2,-4,-3,4,0,-4,3,0,-2,-1,-1,-1
-1,-4,-4,3,2,-5,3,0,-2,-2,-1,-2
0,-4,-5,3,2,-5,2,0,-3,-2,-1,-3
-1,-4,-4,3,1,-5,3,-1,-2,-1,0,-2
-2,-4,-2,4,0,-3,3,0,-1,0,1,-1
-3,-4,-1,3,-1,-2,4,0,-1,0,2,-1
-3,-4,0,3,-1,-2,4,0,-1,0,1,-1
-5,-4,1,4,-3,-1,4,0,-1,0,1,-1
-5,-4,1,5,-3,-1,4,-1,-1,-1,0,-1
-4,-4,-1,4,-1,-2,3,-1,-2,-2,0,-2
-2,-4,-3,4,1,-4,3,-1,-2,-2,-1,-2
-1,-5,-4,4,2,-5,2,0,-3,-3,-1,-2
0,-5,-6,3,3,-6,2,0,-3,-4,-2,-3
0,-6,-6,3,3,-6,3,0,-4,-4,-2,-3
-1,-7,-5,4,2,-6,3,0,-4,-4,-2,-3
-1,-7,-5,4,2,-7,2,-1,-4,-4,-2,-3
-2,-7,-4,4,0,-6,3,-1,-3,-3,-1,-2
-4,-5,-1,5,-2,-4,4,0,-2,-2,0,-1
-5,-4,1,5,-3,-2,4,0,-1,-1,1,0
-6,-3,2,5,-4,-1,4,0,-1,-1,1,0
-5,-2,2,4,-4,0,4,0,-1,-1,1,-1
-4,-2,1,4,-2,-1,4,0,-1,-2,0,-2
-2,-3,-1,3,0,-2,4,0,-2,-3,-1,-2
-1,-3,-2,3,0,-3,4,0,-2,-3,-1,-2
-2,-3,-2,3,0,-3,4,0,-2,-3,-1,-2
-3,-3,-1,3,0,-3,4,0,-2,-3,0,-1
-3,-3,-1,3,0,-2,4,0,-2,-2,0,-1
-3,-3,-1,3,-1,-2,4,0,-2,-2,0,0
-4,-4,-1,3,-1,-3,4,0,-2,-3,0,0
-5,-4,0,4,-2,-2,5,0,-2,-3,0,0
-6,-5,0,5,-3,-2,5,0,-2,-3,0,-1
-5,-5,-1,4,-1,-3,4,0,-3,-3,-1,-2
-3,-5,-3,3,0,-4,3,-1,-3,-4,-1,-2
-2,-4,-2,2,1,-3,3,-1,-3,-3,-1,-2
-1,-3,-2,2,0,-2,3,-1,-3,-3,-1,-2
0,-3,-2,2,1,-2,3,-1,-3,-3,-1,-2
0,-3,-3,1,2,-3,3,-2,-3,-4,-1,-2
0,-3,-4,1,2,-3,4,-2,-3,-4,-2,-2
0,-3,-4,1,3,-3,4,-2,-3,-4,-2,-2
0,-3,-4,1,2,-3,4,-1,-3,-4,-1,-2
0,-3,-3,1,1,-3,4,-1,-3,-3,-1,-2
-2,-3,-1,2,0,-2,4,-1,-3,-3,0,-1
-4,-3,1,3,-2,-2,4,0,-3,-3,0,-1
-4,-3,1,4,-3,-2,4,0,-2,-3,0,-1
-4,-3,0,4,-2,-2,3,0,-2,-3,-1,-2
-5,-3,1,4,-3,-2,3,0,-2,-3,-1,-2
-5,-2,2,4,-3,0,3,0,-2,-3,-1,-1
-5,-1,3,3,-4,1,3,-1,-1,-2,0,0
-5,0,4,3,-4,2,3,-1,0,-1,1,0
-3,0,3,1,-2,1,3,-1,0,-1,1,1
0,1,0,0,0,0,2,-2,0,-1,0,0
2,1,0,-1,1,0,2,-2,0,-1,0,0
1,1,0,-1,1,0,2,-2,0,-1,1,1
0,0,1,0,0,0,2,-1,1,0,1,1
0,1,1,0,0,1,1,-1,1,0,1,1
0,2,1,-1,0,1,1,-1,2,0,1,2
0,3,3,-1,0,2,0,-1,2,0,2,2
-2,4,6,-1,-3,4,0,-1,3,0,2,2
-3,4,8,-1,-4,6,0,-1,4,1,2,2
-3,5,9,-1,-5,6,0,-2,4,1,2,1
-2,5,9,-1,-5,7,0,-2,4,1,2,1
-1,6,8,-2,-4,7,0,-2,5,2,3,1
0,7,7,-3,-3,7,0,-2,5,2,3,2
0,7,7,-3,-3,7,0,-2,5,3,4,3
0,7,5,-3,-2,7,-1,-2,5,3,4,3
1,6,4,-4,-1,5,-2,-3,4,2,3,2
1,6,4,-3,-1,5,-2,-3,4,2,3,3
0,6,6,-3,-2,6,-3,-3,4,3,4,4
1,7,7,-4,-3,7,-3,-2,4,4,5,5
1,8,7,-4,-3,8,-4,-2,4,4,5,5
0,8,8,-3,-4,8,-4,-2,4,4,6,6
0,8,8,-3,-4,8,-4,-1,3,5,6,6
0,8,7,-3,-3,8,-5,-1,3,4,6,6
2,7,5,-4,-1,7,-6,-2,2,3,5,5
5,7,1,-6,2,4,-7,-4,0,2,4,5
8,6,-2,-7,5,2,-8,-5,-1,1,3,4
9,6,-3,-7,6,0,-8,-6,-3,0,2,3
8,6,-2,-7,6,0,-7,-6,-3,0,2,2
6,5,-1,-5,4,1,-6,-5,-3,0,1,2
4,4,-1,-4,2,1,-5,-4,-3,0,2,2
4,4,-1,-4,2,1,-5,-3,-2,0,2,3
4,4,-1,-4,2,1,-4,-3,-2,0,3,3
5,5,0,-5,2,2,-3,-2,-1,0,3,4
5,6,0,-6,3,3,-3,-2,-1,0,3,4
6,6,-1,-6,3,2,-3,-2,-2,0,3,4
6,4,-2,-5,4,1,-3,-2,-3,0,1,3
5,3,-2,-4,4,0,-2,-2,-3,-1,0,2
3,2,-1,-3,2,0,0,-1,-2,-1,0,2
1,1,0,-1,0,0,0,-1,-2,-2,0,1
0,1,0,0,0,0,1,-1,-3,-2,0,1
0,0,-1,0,1,-1,1,-1,-3,-3,-1,1
0,-2,-3,0,2,-3,1,-1,-4,-4,-2,0
0,-3,-4,1,3,-4,2,-1,-4,-4,-2,-1
-1,-4,-4,2,2,-4,3,-1,-4,-4,-3,-1
-2,-5,-2,3,0,-4,4,-1,-4,-4,-3,-1
-5,-5,0,5,-2,-3,5,0,-3,-4,-2,-1
-7,-5,0,5,-4,-3,5,0,-4,-4,-2,-2
-6,-5,0,5,-3,-3,5,0,-4,-5,-3,-2
-5,-5,0,4,-2,-3,5,0,-4,-6,-3,-3
-4,-4,-1,3,-1,-3,5,0,-4,-6,-3,-3
-3,-4,0,3,-1,-2,6,0,-3,-5,-3,-2
-4,-4,0,3,-1,-2,6,0,-3,-4,-3,-2
-3,-4,0,3,-1,-2,6,0,-4,-4,-4,-3
-2,-4,-3,2,0,-4,6,0,-4,-5,-4,-3
-1,-4,-4,2,1,-5,6,0,-4,-5,-4,-3
-2,-4,-3,3,0,-4,6,0,-4,-5,-4,-3
-4,-4,-1,4,-1,-3,6,0,-3,-4,-3,-2
-5,-5,0,4,-2,-2,6,0,-3,-4,-3,-2
-5,-6,0,5,-2,-2,7,1,-3,-4,-3,-2
-6,-7,-1,5,-2,-3,8,1,-2,-4,-3,-2
-6,-7,0,6,-3,-3,8,0,-2,-4,-3,-2
-5,-6,0,5,-2,-3,8,0,-2,-4,-3,-2
-4,-6,-2,4,-1,-3,8,0,-3,-5,-4,-3
-3,-5,-2,4,0,-4,7,0,-3,-5,-4,-4
-5,-5,-1,5,-2,-3,8,0,-3,-5,-4,-4
-6,-5,0,6,-3,-3,8,0,-3,-5,-4,-4
-5,-5,-1,5,-2,-2,7,0,-4,-5,-4,-4
-5,-6,-1,5,-2,-2,7,0,-4,-4,-4,-3
-6,-7,-1,6,-2,-3,8,1,-3,-4,-3,-3
-5,-8,-2,6,-1,-4,8,1,-3,-4,-3,-2
-4,-7,-3,5,0,-4,7,1,-4,-4,-4,-3
-3,-7,-3,5,0,-5,7,1,-4,-5,-4,-3
-3,-6,-3,4,0,-5,7,1,-4,-5,-4,-3
-4,-7,-3,5,0,-5,7,1,-4,-5,-4,-3
-6,-8,-2,6,-2,-5,7,1,-4,-4,-4,-3
-8,-8,-1,7,-3,-4,7,1,-4,-4,-4,-3
-9,-8,0,8,-4,-4,7,1,-4,-4,-4,-3
-8,-8,0,8,-4,-4,8,1,-3,-4,-4,-3
-8,-7,1,7,-4,-3,8,1,-2,-4,-4,-3
-9,-6,2,7,-5,-3,9,2,0,-3,-5,-4
-11,-6,5,8,-8,-1,10,4,2,-2,-5,-6
-14,-5,8,9,-10,0,12,6,6,0,-5,-6
-14,-5,8,9,-10,1,13,9,11,2,-4,-6
-12,-5,7,8,-9,1,13,13,16,6,-2,-5
-10,-4,5,6,-7,1,13,17,21,11,0,-3
-7,-2,5,4,-6,2,12,20,25,16,5,1
-4,0,5,1,-4,3,10,22,27,21,10,6
1,3,2,-2,0,2,7,25,29,26,17,13
8,6,-2,-7,5,1,2,27,32,34,26,22
16,12,-4,-14,11,3,-4,28,34,44,38,35
28,19,-9,-23,19,5,-15,26,34,54,53,51
43,27,-16,-35,30,6,-27,20,29,64,70,70
57,36,-21,-47,39,8,-40,12,22,72,86,89
69,45,-24,-57,47,11,-52,4,13,78,100,107
81,52,-29,-66,55,12,-63,-2,2,82,113,124
93,60,-33,-76,63,13,-73,-9,-10,84,124,139
104,67,-38,-86,71,14,-84,-18,-24,82,131,150
113,70,-44,-91,79,12,-92,-26,-39,76,130,153
118,66,-52,-92,86,6,-95,-31,-52,66,121,146
119,59,-61,-89,91,-1,-93,-33,-60,55,107,132
115,51,-64,-84,91,-6,-87,-36,-63,46,91,114
107,47,-61,-78,85,-7,-80,-40,-63,38,76,97
96,45,-51,-71,73,-3,-73,-45,-61,31,64,83
80,44,-37,-62,58,3,-66,-50,-60,21,53,70
62,40,-22,-51,42,8,-58,-53,-59,10,41,58
46,36,-11,-41,29,11,-50,-53,-55,1,30,45
34,31,-4,-32,20,12,-42,-49,-49,-6,19,33
26,26,-1,-26,14,11,-36,-45,-43,-10,10,22
19,21,1,-20,10,11,-30,-40,-36,-12,4,13
