leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,-1,0,0,0,-1,-1,-1,-1,-1
1,3,1,-2,0,2,-1,-2,-2,-4,-4,-4
2,5,2,-4,0,4,-3,-4,-4,-6,-6,-6
3,9,5,-6,0,7,-5,-6,-5,-7,-8,-8
4,14,8,-9,-1,11,-7,-7,-7,-9,-9,-10
4,16,11,-10,-2,13,-8,-8,-8,-10,-10,-12
5,17,11,-11,-2,13,-9,-8,-9,-11,-11,-12
5,15,9,-10,-1,11,-8,-8,-8,-10,-10,-11
5,12,6,-8,0,8,-6,-7,-7,-8,-8,-10
4,9,4,-7,0,6,-5,-6,-6,-7,-7,-8
4,9,4,-7,0,6,-4,-5,-5,-6,-6,-7
5,11,6,-8,0,8,-4,-5,-5,-6,-6,-8
5,14,8,-10,0,10,-5,-6,-6,-7,-7,-9
5,16,10,-11,-1,12,-6,-7,-7,-8,-8,-10
5,17,10,-11,-1,13,-7,-7,-8,-8,-8,-11
4,15,9,-10,-1,11,-7,-7,-8,-8,-8,-11
3,12,7,-8,-1,9,-6,-7,-7,-7,-8,-10
3,10,6,-6,-1,7,-5,-6,-6,-6,-7,-9
3,9,4,-6,0,6,-4,-5,-6,-5,-7,-8
4,10,4,-7,0,7,-4,-5,-6,-5,-7,-8
5,13,6,-9,0,9,-5,-5,-6,-7,-8,-9
5,15,9,-10,-1,11,-5,-6,-7,-8,-10,-10
5,16,10,-10,-1,12,-5,-6,-7,-9,-11,-11
5,16,10,-10,-1,12,-5,-6,-7,-10,-11,-11
5,14,8,-9,-1,10,-5,-6,-6,-9,-10,-11
5,12,6,-8,0,8,-5,-6,-6,-8,-10,-10
6,11,4,-8,0,7,-5,-6,-6,-8,-9,-10
6,11,4,-8,1,7,-5,-6,-5,-7,-8,-10
6,13,6,-9,0,9,-5,-5,-5,-6,-8,-10
5,15,9,-9,-1,11,-5,-5,-5,-6,-7,-10
5,16,11,-9,-2,13,-5,-5,-5,-6,-7,-9
5,16,10,-10,-1,13,-6,-5,-6,-6,-7,-9
7,15,7,-10,1,10,-6,-5,-6,-6,-7,-9
9,12,3,-10,2,7,-6,-5,-6,-6,-7,-9
8,11,2,-10,2,6,-6,-4,-5,-5,-7,-8
8,10,2,-9,2,6,-5,-3,-5,-5,-6,-8
8,12,3,-10,2,7,-5,-4,-5,-5,-7,-8
7,14,6,-10,1,9,-5,-4,-5,-5,-7,-8
6,15,8,-10,0,11,-5,-4,-5,-5,-7,-8
6,16,10,-10,0,12,-5,-4,-5,-5,-7,-8
6,15,9,-10,0,11,-5,-3,-5,-5,-7,-8
6,13,7,-9,0,9,-5,-3,-4,-5,-6,-7
6,12,6,-9,0,8,-5,-3,-4,-4,-6,-7
6,12,6,-9,0,8,-4,-3,-4,-4,-5,-7
5,13,7,-9,-1,9,-4,-3,-4,-3,-5,-7
5,14,8,-9,-1,10,-4,-3,-4,-3,-5,-7
6,15,7,-9,0,10,-5,-3,-4,-4,-5,-7
8,15,6,-10,1,10,-5,-4,-5,-5,-6,-8
9,14,4,-10,2,9,-5,-4,-4,-5,-6,-8
8,13,3,-10,2,8,-4,-4,-4,-5,-6,-7
7,11,3,-9,1,7,-4,-4,-4,-5,-6,-7
6,11,3,-9,1,6,-4,-4,-4,-4,-6,-7
6,11,3,-9,1,6,-4,-4,-4,-4,-6,-7
6,12,4,-8,0,7,-4,-3,-4,-4,-6,-7
5,13,6,-8,0,8,-4,-3,-4,-3,-5,-7
6,13,7,-9,0,9,-4,-3,-4,-3,-5,-7
7,14,6,-9,0,9,-5,-3,-4,-3,-5,-7
7,13,5,-9,1,9,-5,-2,-4,-3,-5,-7
6,12,4,-9,0,8,-5,-2,-4,-3,-5,-7
6,11,4,-8,0,7,-5,-2,-4,-3,-5,-7
6,11,3,-8,0,7,-4,-3,-4,-3,-6,-7
6,11,4,-8,0,7,-4,-3,-4,-3,-6,-7
6,12,5,-8,0,9,-3,-4,-4,-3,-6,-7
5,13,7,-8,0,10,-3,-4,-3,-3,-6,-7
5,14,7,-8,0,10,-2,-4,-3,-4,-6,-7
6,13,7,-8,0,10,-2,-4,-3,-4,-6,-7
6,12,6,-8,0,8,-3,-4,-3,-4,-6,-7
6,11,5,-9,0,8,-3,-4,-4,-5,-7,-7
6,11,4,-9,0,7,-4,-4,-4,-6,-7,-7
6,11,4,-9,0,6,-4,-4,-5,-6,-7,-7
6,11,4,-8,0,7,-4,-4,-4,-6,-6,-7
6,11,5,-8,1,7,-4,-4,-4,-6,-7,-7
7,11,4,-8,1,7,-4,-4,-4,-6,-7,-7
6,11,4,-8,1,7,-4,-4,-4,-6,-7,-8
5,10,5,-8,1,7,-4,-4,-4,-6,-7,-8
5,10,5,-8,0,7,-4,-4,-4,-6,-7,-8
5,10,4,-8,1,6,-4,-4,-4,-6,-8,-8
5,10,3,-7,1,6,-4,-4,-4,-6,-8,-8
5,10,3,-7,1,6,-4,-3,-4,-5,-8,-8
4,9,4,-6,0,6,-4,-3,-4,-4,-7,-8
4,9,5,-6,0,6,-3,-2,-4,-4,-7,-8
3,9,6,-6,0,7,-3,-2,-4,-3,-6,-7
3,9,6,-6,-1,6,-3,-2,-4,-3,-5,-7
3,8,5,-6,-1,6,-3,-3,-4,-3,-5,-7
3,8,4,-6,-1,6,-2,-3,-4,-4,-5,-7
3,8,4,-6,-1,5,-2,-3,-4,-4,-5,-7
3,8,4,-6,-1,5,-2,-4,-4,-4,-5,-7
3,8,4,-5,-1,6,-2,-4,-4,-4,-5,-8
3,8,4,-5,0,5,-2,-4,-4,-5,-5,-8
4,8,3,-6,0,5,-2,-4,-4,-5,-5,-8
4,8,3,-6,0,4,-2,-3,-4,-5,-5,-8
3,8,3,-5,0,4,-1,-3,-4,-5,-5,-8
3,8,3,-5,0,4,-1,-3,-4,-5,-5,-8
3,8,3,-5,0,5,-1,-3,-4,-5,-5,-7
3,8,4,-5,-1,6,-1,-2,-4,-6,-5,-7
3,9,5,-5,-1,6,-1,-2,-3,-6,-5,-6
3,9,5,-5,-1,7,-1,-2,-3,-5,-5,-6
3,9,5,-5,-1,7,-1,-2,-3,-5,-6,-6
3,9,5,-5,-1,7,-1,-2,-3,-5,-6,-6
2,9,6,-5,-1,7,-1,-1,-3,-5,-6,-6
2,9,6,-6,-1,7,0,-1,-2,-4,-6,-6
2,10,6,-6,-1,7,0,-1,-2,-4,-6,-6
3,10,5,-7,-1,7,0,-1,-2,-4,-7,-6
3,10,6,-7,-1,7,0,-1,-2,-5,-7,-6
3,10,7,-7,-1,7,1,-1,-1,-5,-6,-6
3,11,7,-7,-2,8,1,-1,-1,-4,-6,-6
3,12,7,-7,-1,8,0,0,-1,-4,-5,-6
4,12,7,-8,-1,9,0,-1,-1,-4,-5,-6
5,12,7,-8,-1,9,0,-1,-1,-4,-5,-6
5,12,7,-8,-1,9,0,-1,0,-4,-5,-6
5,12,7,-8,-1,9,0,-1,0,-4,-5,-6
5,13,7,-8,0,9,0,-1,0,-4,-5,-6
5,13,7,-9,0,9,1,-1,1,-3,-4,-6
5,13,8,-9,-1,9,1,0,1,-2,-4,-6
4,13,9,-9,-2,10,1,0,1,-2,-4,-5
4,14,9,-9,-2,10,1,0,2,-1,-3,-5
4,14,9,-9,-2,11,1,0,2,0,-3,-4
4,14,9,-9,-2,11,0,0,2,0,-2,-4
4,14,9,-9,-2,11,-1,0,2,0,-2,-4
4,15,9,-9,-2,12,-2,0,2,0,-1,-4
4,15,9,-9,-2,12,-3,0,2,0,-1,-3
5,16,9,-10,-2,12,-3,0,2,0,-1,-3
6,17,9,-11,-2,13,-4,0,2,0,0,-2
6,17,9,-11,-2,13,-4,0,2,1,0,-1
6,17,9,-12,-1,13,-4,0,3,1,0,-1
6,17,9,-12,-1,13,-4,0,3,1,0,0
6,17,9,-12,-1,13,-4,0,3,1,0,0
6,17,10,-12,-1,13,-4,0,3,1,0,0
7,17,9,-12,-1,13,-4,0,2,0,-1,-1
7,16,7,-12,0,11,-4,-1,1,0,-2,-2
7,15,6,-11,0,10,-4,-1,0,-1,-2,-2
6,14,6,-10,0,9,-4,-1,0,-1,-3,-3
6,13,6,-9,0,9,-4,-1,-1,-2,-3,-4
6,12,5,-9,0,8,-4,-2,-1,-3,-4,-4
6,11,4,-9,1,7,-4,-3,-2,-3,-4,-5
6,10,4,-8,1,7,-3,-3,-2,-4,-5,-5
5,10,4,-8,0,6,-3,-4,-2,-4,-5,-6
4,10,5,-7,0,6,-2,-4,-2,-4,-5,-6
3,10,5,-7,-1,6,-2,-4,-3,-5,-5,-7
2,9,5,-6,-1,6,-2,-5,-3,-6,-6,-7
2,8,5,-6,-1,6,-2,-5,-4,-7,-8,-8
1,7,5,-5,-1,6,-1,-4,-4,-8,-9,-9
1,7,5,-5,-1,5,-1,-4,-4,-8,-9,-9
1,6,4,-4,-1,5,-1,-4,-4,-8,-9,-9
2,6,3,-4,-1,4,-1,-3,-4,-8,-8,-9
2,5,2,-4,0,3,-1,-3,-4,-7,-8,-9
3,4,0,-3,1,2,-1,-3,-4,-7,-8,-9
2,3,0,-3,1,1,0,-3,-4,-7,-8,-9
2,3,0,-2,0,1,0,-3,-4,-7,-8,-9
1,3,0,-2,0,1,0,-3,-4,-7,-8,-9
1,2,0,-2,0,1,-1,-3,-4,-7,-8,-9
1,2,0,-2,0,1,-1,-4,-4,-7,-8,-9
0,2,1,-2,0,2,-1,-4,-4,-7,-8,-9
0,2,1,-1,-1,2,-1,-4,-4,-7,-8,-9
0,2,2,-1,-1,2,-1,-4,-4,-7,-8,-9
0,2,2,-1,-1,1,-1,-4,-5,-7,-8,-10
0,1,1,0,-1,1,-1,-4,-5,-7,-8,-10
-1,1,1,0,-1,0,-1,-4,-5,-7,-8,-10
-1,0,0,0,-1,0,0,-3,-5,-7,-9,-10
-1,0,0,0,-1,0,0,-3,-5,-7,-9,-10
-1,0,0,1,-1,0,0,-3,-5,-7,-9,-10
-2,0,0,1,-2,0,0,-4,-5,-8,-9,-10
-1,0,0,1,-1,0,0,-4,-5,-8,-9,-10
-1,0,0,1,-1,0,0,-4,-5,-8,-9,-10
-1,0,0,1,-1,0,0,-4,-5,-8,-10,-10
-1,0,1,1,-1,0,0,-4,-5,-9,-10,-10
-2,0,1,1,-1,0,0,-5,-5,-9,-11,-10
-1,0,0,1,-1,0,0,-5,-5,-9,-11,-11
0,0,-1,1,0,-1,0,-5,-5,-9,-11,-11
0,-1,-2,1,0,-1,0,-5,-5,-9,-11,-11
0,-1,-2,1,0,-2,0,-4,-5,-9,-11,-11
-1,-2,-2,2,0,-2,0,-4,-5,-9,-10,-11
-1,-2,-2,2,0,-2,0,-3,-5,-9,-10,-11
-2,-3,-2,2,0,-2,0,-3,-5,-9,-10,-11
