leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,-1,0,0,-37,0,-1,0
-2,-3,-1,3,0,-2,1,0,-98,-1,-2,-1
-3,-5,-2,4,-1,-4,2,0,-140,-2,-2,-1
-4,-6,-2,5,-1,-5,3,0,-169,-2,-3,-1
-4,-7,-3,5,0,-5,3,0,-186,-2,-3,-1
-4,-7,-3,5,0,-5,3,0,-196,-2,-3,-1
-4,-7,-3,5,0,-5,3,0,-193,-2,-3,-1
-4,-7,-3,5,0,-5,3,0,-184,-2,-3,-1
-4,-7,-3,5,0,-5,3,1,-178,-1,-3,-1
-3,-7,-3,5,0,-5,3,1,-178,-1,-3,-1
-3,-7,-4,5,0,-5,3,2,-181,-1,-2,-1
-3,-7,-4,5,1,-5,3,2,-183,-1,-2,-1
-2,-7,-5,5,1,-5,3,2,-185,-1,-2,-1
-2,-7,-5,4,1,-5,3,2,-186,-1,-2,-1
-1,-7,-5,4,1,-6,3,3,-188,-1,-2,-1
-1,-7,-5,4,1,-6,2,3,-190,-1,-1,-1
-1,-6,-6,4,2,-6,2,4,-192,-1,-1,-1
0,-6,-6,3,2,-6,2,4,-193,0,0,-1
0,-5,-6,3,2,-6,2,5,-193,0,0,-1
0,-5,-5,3,2,-6,2,5,-193,0,0,0
0,-5,-5,3,2,-6,2,6,-193,1,1,0
1,-5,-5,2,2,-6,1,6,-193,1,1,0
2,-5,-7,1,4,-6,1,7,-194,1,1,0
3,-4,-7,1,5,-6,1,7,-194,1,2,0
3,-4,-7,1,5,-6,1,8,-194,2,2,0
2,-4,-7,1,5,-6,1,9,-194,2,2,1
3,-4,-8,0,5,-6,1,10,-194,3,3,1
4,-4,-9,0,6,-6,1,10,-194,3,3,1
5,-4,-10,-1,7,-7,1,11,-195,3,3,2
6,-4,-10,-1,7,-7,1,12,-195,3,4,2
6,-3,-11,-1,8,-7,1,12,-199,3,4,2
6,-3,-11,-1,8,-7,1,13,-217,4,4,2
5,-3,-9,-1,7,-6,1,14,-238,5,5,3
5,-2,-9,-1,7,-6,1,15,-223,6,6,4
7,-2,-9,-2,7,-6,0,16,-141,6,7,4
7,-1,-9,-3,8,-5,0,17,-22,7,7,5
8,0,-9,-4,8,-5,0,18,60,8,8,5
9,0,-9,-4,8,-4,0,19,78,9,9,6
9,0,-9,-5,9,-4,0,19,86,9,10,6
10,0,-10,-5,9,-4,0,20,113,10,11,7
10,0,-10,-5,10,-4,0,21,109,10,12,7
11,0,-11,-6,11,-5,0,22,66,10,13,8
12,1,-12,-7,11,-5,0,22,32,10,13,8
13,1,-12,-7,12,-5,0,23,9,10,13,8
13,1,-13,-8,12,-5,-1,23,-22,10,14,9
14,2,-13,-8,13,-5,-1,24,-65,10,14,9
15,2,-13,-9,14,-5,-1,24,-113,11,14,9
15,3,-12,-9,14,-4,-1,25,-168,11,15,9
14,3,-11,-9,13,-4,-1,25,-211,11,15,10
15,4,-11,-9,13,-3,-1,25,-228,11,16,10
15,4,-11,-10,13,-3,-1,25,-224,11,16,10
15,5,-11,-10,12,-3,-1,26,-215,12,16,11
15,5,-10,-10,12,-3,-1,26,-204,12,16,11
15,5,-10,-10,12,-3,-1,25,-193,12,16,11
