leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,1,1,4,0,0,0
-1,-2,-2,2,0,-2,2,2,10,0,0,0
-1,-3,-3,2,0,-3,3,3,14,1,0,0
-1,-4,-4,3,1,-4,3,3,16,1,0,-1
-1,-5,-4,3,1,-5,3,2,17,1,-3,-2
-1,-6,-5,3,1,-5,3,0,18,0,-6,-3
-1,-6,-5,3,1,-6,4,0,18,0,-8,-4
-1,-6,-5,4,1,-6,4,0,18,0,-8,-4
-1,-6,-5,4,2,-6,4,1,19,0,-7,-4
0,-6,-6,4,2,-6,4,2,19,0,-5,-3
0,-6,-6,4,2,-6,4,3,19,1,-3,-2
0,-6,-6,4,2,-6,4,3,19,1,-3,-2
0,-6,-6,4,2,-6,4,3,19,1,-5,-3
0,-6,-6,4,2,-6,4,2,19,1,-7,-4
0,-6,-6,4,2,-6,4,1,19,1,-9,-4
-1,-7,-6,4,2,-6,4,1,19,1,-9,-4
-1,-7,-6,4,2,-6,4,2,19,1,-8,-4
-1,-6,-5,4,1,-6,4,3,19,1,-6,-4
0,-6,-5,3,1,-6,4,4,19,2,-5,-3
0,-5,-5,2,2,-6,4,4,20,2,-4,-2
0,-5,-6,2,2,-6,4,4,20,2,-4,-2
0,-5,-6,2,2,-6,4,3,20,2,-6,-3
0,-5,-6,2,2,-6,4,3,20,2,-7,-3
0,-5,-6,2,2,-6,4,2,20,2,-8,-3
1,-5,-6,2,3,-6,4,2,20,2,-7,-3
1,-5,-6,2,3,-6,4,3,20,2,-6,-3
1,-5,-6,2,3,-6,4,3,20,2,-4,-3
0,-5,-6,2,3,-5,4,4,20,3,-3,-2
0,-5,-5,2,2,-5,4,4,20,3,-3,-2
1,-5,-5,1,2,-5,4,4,20,3,-3,-1
1,-5,-6,1,3,-5,4,4,20,4,-4,-1
1,-5,-6,1,3,-5,5,4,21,4,-5,-2
1,-5,-6,1,3,-5,5,4,21,4,-5,-2
1,-5,-6,2,3,-5,5,4,22,4,-4,-2
1,-6,-6,2,3,-6,5,4,22,4,-3,-2
1,-6,-6,2,3,-6,5,5,22,4,-2,-2
1,-5,-6,2,3,-6,5,5,22,4,-2,-1
1,-5,-6,2,2,-6,5,5,22,4,-2,-1
1,-5,-6,2,2,-6,5,5,23,4,-3,-1
1,-5,-6,2,2,-5,5,5,23,4,-4,-1
1,-5,-5,1,2,-5,5,5,23,5,-4,-1
1,-4,-5,1,2,-5,5,5,23,5,-4,-1
1,-4,-6,1,3,-5,5,6,23,5,-3,-1
2,-4,-6,1,3,-5,5,6,23,6,-3,-1
2,-4,-7,0,3,-5,4,6,23,6,-2,-1
3,-4,-7,0,4,-5,4,6,23,6,-2,-1
3,-4,-7,0,4,-5,4,6,24,6,-3,-1
3,-4,-7,0,4,-5,4,7,24,6,-3,0
3,-4,-7,0,4,-5,4,7,25,6,-3,0
3,-3,-7,0,4,-5,4,7,25,6,-3,0
3,-3,-6,0,4,-5,4,7,25,7,-2,0
2,-2,-5,0,4,-4,4,8,26,7,-2,0
2,-2,-5,0,4,-4,4,8,26,7,-1,0
3,-2,-6,0,4,-4,4,8,26,7,-1,0
3,-2,-6,0,4,-4,4,8,26,7,-1,0
2,-2,-6,0,4,-4,4,8,27,7,-1,1
2,-2,-6,0,4,-4,4,9,28,8,-1,1
2,-2,-5,0,3,-4,4,9,28,8,-1,1
3,-1,-6,-1,4,-4,4,10,28,8,-1,1
4,-1,-6,-2,4,-4,4,10,29,8,-1,1
3,-1,-6,-2,4,-4,4,11,29,8,0,1
4,0,-6,-2,4,-3,4,11,30,8,0,1
5,0,-7,-2,5,-3,3,11,30,8,0,1
5,0,-7,-3,6,-3,3,11,30,9,0,1
6,0,-7,-4,6,-3,3,11,30,9,0,2
7,0,-8,-4,7,-3,2,11,30,9,0,2
7,0,-8,-4,7,-4,2,11,30,9,0,2
8,0,-8,-4,7,-4,2,11,31,9,1,2
8,0,-8,-4,7,-4,2,11,31,9,1,2
8,1,-8,-5,7,-4,2,12,31,9,2,3
8,1,-8,-5,7,-3,2,12,32,10,2,3
8,2,-8,-5,7,-3,2,12,32,10,3,4
8,2,-8,-5,7,-3,2,12,32,10,3,4
8,2,-8,-5,7,-3,1,12,32,10,4,5
9,3,-8,-6,8,-3,1,12,32,10,4,5
10,3,-8,-6,8,-3,1,13,32,10,4,6
10,3,-8,-7,8,-3,1,13,33,10,5,6
10,3,-8,-7,8,-2,1,13,33,11,5,7
10,3,-7,-7,8,-2,1,13,33,11,6,7
10,4,-7,-7,8,-1,1,13,33,11,6,7
11,4,-8,-8,8,-1,0,13,33,11,7,7
11,5,-8,-8,8,-1,0,14,33,11,7,8
11,5,-8,-8,8,-1,0,14,33,11,7,8
12,5,-8,-9,9,-1,0,14,32,11,7,9
12,5,-8,-9,9,-1,0,14,32,11,8,9
12,5,-7,-9,8,-1,0,14,32,11,8,9
12,5,-7,-9,8,0,0,14,32,11,8,10
12,6,-7,-9,8,0,0,14,32,11,8,10
12,6,-6,-9,8,0,-1,14,32,11,8,11
12,7,-6,-9,8,0,-1,14,32,11,8,11
12,7,-6,-9,8,0,-2,13,31,11,8,12
12,7,-6,-9,8,0,-2,13,30,11,8,12
13,7,-6,-10,8,0,-3,12,29,11,8,12
12,7,-6,-10,8,1,-3,12,29,11,8,12
12,7,-5,-10,7,1,-2,12,29,11,8,12
12,7,-6,-10,8,1,-2,11,28,11,8,12
13,8,-6,-10,8,1,-3,11,28,11,8,13
12,8,-5,-10,8,1,-3,11,28,11,8,13
12,9,-5,-10,7,1,-3,11,27,10,8,14
13,9,-5,-11,8,1,-3,10,26,10,8,14
14,9,-6,-11,9,1,-3,10,26,10,8,14
13,9,-5,-11,8,1,-3,10,25,10,8,14
12,9,-4,-11,7,2,-3,10,25,10,8,14
12,9,-4,-10,7,2,-3,9,25,10,7,14
11,9,-3,-10,6,2,-3,9,25,10,7,14
11,8,-3,-9,6,2,-2,9,25,10,7,14
9,8,-2,-9,5,2,-2,9,24,10,6,14
