leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,0,0,0,1,2,-1,-1
-1,-2,-1,1,0,-1,0,0,3,6,-4,-2
0,-2,-1,1,0,-2,0,0,4,8,-5,-3
0,-2,-1,1,0,-2,0,2,5,9,-6,-4
-1,-2,-1,1,0,-2,0,4,5,9,-7,-4
-1,-2,0,1,0,-2,0,5,5,9,-7,-4
0,-1,0,0,0,-1,0,5,5,9,-7,-4
0,0,0,0,0,-1,0,4,5,10,-6,-3
0,0,0,-1,0,0,0,2,6,11,-6,-3
0,0,0,-1,0,0,0,1,7,11,-5,-3
0,0,0,0,0,-1,0,1,7,12,-5,-3
0,0,0,0,0,-1,0,2,8,12,-5,-3
1,0,0,-1,0,0,0,4,8,13,-4,-2
2,1,0,-2,0,0,0,5,9,14,-4,-2
1,0,0,-1,0,0,-1,5,9,14,-4,-3
0,0,0,0,0,0,-1,4,9,14,-5,-3
0,0,0,0,0,0,-1,3,9,14,-5,-3
0,0,0,0,0,0,-1,2,10,15,-4,-3
1,0,0,-1,0,0,-1,2,11,16,-4,-3
1,0,0,-1,0,0,-1,3,12,16,-3,-3
1,0,0,-1,0,0,-1,4,12,16,-3,-2
1,0,0,-1,0,0,-1,5,12,16,-3,-2
1,0,1,-1,0,0,-1,6,12,17,-3,-2
1,0,1,-1,0,0,-1,6,13,17,-3,-2
1,0,0,-1,0,0,-1,5,14,17,-3,-2
1,0,0,-1,1,0,-1,4,14,17,-4,-2
1,0,0,-1,1,0,-1,4,15,17,-5,-2
1,0,0,0,1,0,-1,4,15,17,-6,-2
0,0,0,0,0,0,-2,4,16,17,-6,-2
0,-1,0,0,0,0,-2,5,16,17,-6,-2
0,0,0,0,0,0,-2,6,17,18,-5,-2
1,1,0,-1,0,1,-1,6,18,18,-4,-1
1,1,0,-1,0,1,-1,6,19,19,-3,-1
1,1,1,-1,0,1,-1,6,19,19,-3,-1
2,1,1,-2,0,1,-1,6,20,19,-2,-1
2,2,1,-2,1,2,-1,6,21,20,0,0
2,3,1,-3,1,2,-1,7,22,20,1,0
2,3,1,-3,1,2,-2,7,23,21,2,0
2,3,1,-3,1,2,-2,8,24,21,2,0
2,3,1,-3,1,2,-2,8,25,22,3,0
2,3,1,-3,1,2,-2,8,26,22,3,0
1,2,1,-3,0,2,-3,8,27,23,4,1
1,3,2,-3,0,2,-3,8,28,23,4,1
1,4,3,-3,0,3,-3,8,29,24,5,1
2,5,3,-4,0,4,-3,9,30,25,7,1
2,5,3,-4,0,4,-3,9,31,26,8,1
3,6,3,-4,0,4,-3,10,32,26,8,1
4,6,3,-5,0,5,-3,10,34,27,9,2
4,7,3,-5,1,5,-4,11,35,28,9,2
4,7,3,-5,1,5,-4,11,37,29,10,3
4,6,4,-5,0,5,-5,11,38,30,11,4
3,7,4,-5,0,5,-5,11,39,31,12,5
4,7,4,-5,0,6,-5,12,40,32,13,6
4,8,4,-6,0,6,-5,12,42,33,15,6
4,8,5,-6,0,6,-5,12,43,34,16,6
5,9,5,-7,0,7,-4,13,45,35,18,7
6,11,6,-8,0,8,-4,13,47,36,19,7
6,12,7,-9,0,9,-4,13,48,38,20,8
5,12,7,-9,-1,10,-3,14,50,39,20,8
5,12,8,-9,-1,10,-3,14,51,40,21,9
5,12,8,-9,-1,11,-4,14,52,41,22,9
5,12,8,-9,-1,11,-4,14,53,42,22,10
5,13,8,-9,-1,11,-5,14,55,42,23,10
6,13,9,-10,-1,11,-5,14,56,43,24,11
6,14,9,-10,-1,12,-5,14,57,44,25,11
7,15,10,-11,-1,12,-5,14,58,45,25,12
7,16,10,-12,-1,13,-5,14,59,46,26,12
8,17,10,-13,0,13,-5,15,60,47,27,13
8,18,11,-13,-1,14,-5,15,61,48,28,14
8,18,12,-13,-1,15,-5,15,62,49,28,15
7,18,12,-12,-2,15,-5,15,62,49,29,15
6,17,12,-12,-2,15,-6,14,62,49,29,15
5,17,12,-11,-3,15,-6,14,63,49,30,16
5,17,12,-11,-3,15,-6,14,63,49,30,16
5,17,13,-11,-3,15,-6,14,63,49,30,16
7,19,13,-13,-2,16,-6,14,63,49,31,17
8,21,13,-14,-2,17,-6,14,62,49,31,17
9,22,13,-15,-2,17,-6,13,62,49,31,18
8,22,14,-15,-3,18,-6,13,61,49,31,18
8,22,14,-14,-3,18,-6,13,60,48,31,18
7,21,14,-14,-3,18,-6,13,58,47,30,17
7,21,14,-13,-3,18,-6,12,56,46,29,17
6,20,14,-13,-3,17,-6,12,54,44,28,16
5,19,14,-12,-4,16,-7,11,52,43,26,15
4,18,14,-11,-4,15,-7,10,49,41,25,15
4,17,13,-10,-4,15,-7,10,47,39,23,14
4,16,13,-10,-4,15,-7,9,44,37,22,14
4,16,13,-10,-4,14,-7,9,42,35,20,13
4,15,12,-10,-4,14,-7,9,39,33,19,12
4,15,11,-10,-3,13,-7,9,36,30,17,12
4,15,11,-10,-3,13,-7,9,34,28,15,11
4,14,10,-10,-2,12,-7,8,31,25,12,10
5,14,10,-10,-2,11,-7,8,28,22,10,9
4,13,9,-9,-2,10,-8,7,26,19,8,8
3,11,9,-7,-3,9,-8,7,23,17,6,7
2,9,8,-6,-3,8,-8,7,20,14,4,6
3,9,7,-6,-2,7,-8,7,18,12,2,5
3,8,6,-5,-1,7,-8,7,16,10,1,4
3,8,6,-5,-1,6,-7,7,14,8,0,3
3,7,5,-5,0,6,-7,7,12,6,-1,2
3,7,5,-4,0,5,-7,7,11,3,-3,1
3,6,4,-4,0,5,-6,7,9,1,-4,0
2,5,4,-3,0,4,-5,7,8,0,-5,0
2,4,3,-3,0,4,-4,7,6,-1,-6,-1
1,3,3,-2,0,3,-4,7,5,-3,-7,-1
1,3,3,-2,0,3,-4,8,4,-4,-8,-1
1,3,3,-1,0,3,-4,8,3,-5,-9,-2
1,2,2,-1,0,2,-4,8,2,-6,-10,-2
0,2,2,-1,0,1,-4,8,0,-8,-11,-3
0,1,2,0,-1,1,-4,8,0,-9,-11,-3
-1,1,2,1,-2,1,-4,8,-1,-10,-12,-4
-1,0,2,1,-1,1,-4,8,-2,-10,-12,-4
0,0,1,1,-1,1,-4,9,-2,-11,-12,-4
0,0,1,1,0,1,-4,9,-2,-11,-12,-4
0,0,1,1,0,1,-4,9,-3,-11,-12,-4
0,0,1,1,-1,0,-4,9,-3,-11,-12,-5
0,0,1,1,-1,0,-4,9,-3,-12,-13,-5
0,0,0,0,0,0,-4,9,-4,-12,-13,-5
0,0,0,0,0,-1,-4,9,-4,-12,-13,-5
0,-1,0,0,0,-1,-4,9,-5,-12,-13,-5
0,-1,0,0,0,0,-3,10,-5,-12,-13,-5
0,-1,0,0,0,0,-3,10,-5,-12,-13,-5
0,-1,0,0,0,0,-3,10,-5,-11,-13,-5
0,-1,0,0,0,0,-3,11,-5,-11,-13,-5
1,0,0,0,0,0,-3,11,-5,-10,-13,-5
1,0,0,-1,0,0,-3,12,-4,-10,-13,-5
1,1,0,-1,0,0,-3,12,-4,-10,-13,-5
1,0,0,0,0,0,-3,12,-4,-10,-13,-5
0,0,0,0,0,0,-3,12,-4,-10,-13,-5
0,-1,0,1,0,0,-3,12,-4,-10,-13,-5
0,-2,0,1,0,-1,-3,11,-3,-10,-13,-6
0,-2,0,2,0,-1,-3,11,-2,-10,-13,-6
-1,-3,0,2,0,-1,-3,11,-2,-10,-13,-6
-2,-3,0,2,-1,-1,-3,11,-1,-10,-13,-6
-2,-2,0,2,-1,-1,-3,11,-1,-10,-12,-6
-1,-2,0,1,-1,-1,-3,12,0,-10,-12,-6
-1,-1,0,1,0,0,-3,12,0,-10,-12,-6
0,0,0,0,0,0,-3,13,0,-10,-12,-5
1,0,0,0,0,0,-3,13,1,-10,-11,-5
1,0,0,0,0,0,-3,13,1,-10,-11,-5
1,0,0,0,0,0,-3,13,1,-10,-11,-5
1,1,0,-1,0,0,-2,14,2,-10,-10,-5
1,1,0,-1,0,0,-2,14,2,-10,-10,-5
1,1,0,-1,0,0,-2,14,2,-11,-10,-5
1,0,0,0,1,0,-2,14,2,-11,-10,-5
1,0,0,0,1,0,-3,14,3,-12,-10,-5
1,0,0,0,0,0,-3,14,3,-12,-10,-5
0,-1,0,1,0,0,-3,14,3,-12,-10,-5
1,-1,0,0,0,0,-3,14,4,-12,-9,-5
2,0,0,0,1,0,-3,14,4,-11,-9,-5
2,1,0,-1,2,0,-4,13,5,-11,-8,-5
2,1,0,-2,2,0,-3,13,5,-10,-8,-4
3,2,0,-2,2,0,-3,13,6,-10,-7,-4
3,2,0,-2,2,0,-2,14,6,-9,-7,-3
3,2,0,-2,2,0,-2,14,6,-9,-7,-3
3,1,0,-2,1,0,-1,14,6,-9,-7,-3
2,1,0,-1,1,0,-1,14,6,-9,-7,-3
1,0,0,-1,1,0,-1,13,6,-9,-7,-3
0,0,0,0,0,0,-1,13,6,-9,-7,-3
0,0,0,0,0,0,-1,13,6,-9,-7,-3
-1,-1,0,0,0,0,-1,13,6,-9,-7,-3
-1,-1,0,1,0,0,-2,14,7,-9,-7,-3
0,0,0,0,0,0,-2,14,7,-9,-7,-3
0,0,0,0,0,0,-3,14,7,-9,-7,-3
1,0,0,-1,1,0,-3,14,7,-9,-7,-3
1,1,0,-1,1,0,-3,14,7,-8,-7,-3
1,1,0,-1,0,1,-2,14,7,-8,-6,-2
